参控股名称;股票代码;报告期;持股比例(%)
海南海虹投资咨询有限公司;-;2017-12-31;100.00
域创投资(香港)有限公司;-;2017-12-31;100.00
内蒙古华虹医药网络发展有限公司;-;2015-12-31;100.00
域创投资有限公司;-;2015-12-31;100.00
海南海虹资产管理有限公司;-;2017-12-31;99.70
中公网信息技术与服务有限公司;-;2017-12-31;92.00
云南卫虹医药电子商务有限公司;-;2017-12-31;90.00
山东海虹医药电子商务有限公司;-;2017-12-31;90.00
贵州卫虹医药电子商务有限公司;-;2017-12-31;90.00
广西卫虹医药电子商务有限公司;-;2017-12-31;90.00
海南海虹医疗器械电子商务有限公司;-;2017-12-31;90.00
北京海协智康科技发展有限公司;-;2017-12-31;90.00
厦门海虹医药电子商务有限公司;-;2017-12-31;90.00
重庆卫虹医药电子商务有限公司;-;2016-12-08;90.00
益康健康服务有限公司;-;2017-12-31;84.00
新疆海虹医药电子商务有限公司;-;2017-12-31;80.00
浙江海虹药通网络技术有限公司;-;2017-12-31;80.00
福建海虹医药电子商务有限公司;-;2017-12-31;80.00
海南海川科技投资有限公司;-;2017-12-31;80.00
辽宁海虹医药电子商务有限公司;-;2015-12-31;80.00
北京海虹药通电子商务有限公司;-;2015-12-31;80.00
海南卫虹医药电子商务有限公司;-;2015-12-31;80.00
江苏卫虹医药电子商务有限公司;-;2015-12-31;80.00
海南海虹商业智能管理软件有限公司;-;2017-12-31;70.00
海南海虹医药电子商务结算服务有限公司;-;2017-12-31;70.00
海南海虹医药资讯有限公司;-;2017-12-31;70.00
海南海虹医疗咨询服务有限公司;-;2017-12-31;70.00
海南泰虹医药网络开发有限公司;-;2017-12-31;70.00
辽宁华虹网络技术发展有限公司;-;2017-12-31;70.00
湖北海虹网络技术有限公司;-;2017-12-31;70.00
