参控股名称;股票代码;报告期;持股比例(%)
安徽芜湖海螺建筑安装工程有限责任公司;-;2017-12-31;100.00
上海海螺建材国际贸易有限公司;-;2017-12-31;100.00
上海海螺物流有限公司;-;2017-12-31;100.00
广东英龙海螺物流有限公司;-;2017-12-31;100.00
安徽宁昌塑料包装有限公司;-;2017-12-31;100.00
英德海螺塑料包装有限责任公司;-;2017-12-31;100.00
芜湖海螺塑料制品有限公司;-;2017-12-31;100.00
安徽铜陵海螺水泥有限公司;-;2017-12-31;100.00
双峰海螺水泥有限公司;-;2017-12-31;100.00
贵阳海螺盘江水泥有限责任公司;-;2017-12-31;100.00
贵定海螺盘江水泥有限责任公司;-;2017-12-31;100.00
遵义海螺盘江水泥有限责任公司;-;2017-12-31;100.00
云南壮乡水泥股份有限公司;-;2017-12-31;100.00
隆安海螺水泥有限责任公司;-;2017-12-31;100.00
宝鸡众喜凤凰山水泥有限公司;-;2017-12-31;100.00
宝鸡众喜金陵河水泥有限公司;-;2017-12-31;100.00
乾县海螺水泥有限责任公司;-;2017-12-31;100.00
黔西南州发展资源开发有限公司;-;2017-12-31;100.00
四川南威水泥有限公司;-;2017-12-31;100.00
茂名市大地水泥有限公司;-;2017-12-31;100.00
安徽长丰海螺水泥有限公司;-;2017-12-31;100.00
南通海螺水泥有限责任公司;-;2017-12-31;100.00
上海海螺水泥销售有限公司;-;2017-12-31;100.00
蚌埠海螺水泥有限责任公司;-;2017-12-31;100.00
分宜海螺水泥有限责任公司;-;2017-12-31;100.00
绍兴上虞海螺水泥有限责任公司;-;2017-12-31;100.00
建德海螺水泥有限责任公司;-;2017-12-31;100.00
江西庐山海螺水泥有限公司;-;2017-12-31;100.00
泰州杨湾海螺水泥有限责任公司;-;2017-12-31;100.00
南昌海螺水泥有限责任公司;-;2017-12-31;100.00
