参控股名称;股票代码;报告期;持股比例(%)
深圳市深康大岭山石矿有限公司;-;2017-06-30;100.00
深圳市天地物业管理有限公司;-;2017-06-30;100.00
深圳市天地东建混凝土有限公司;-;2017-06-30;100.00
深圳市天地新型构件有限公司;-;2017-06-30;100.00
深圳市天地石材有限公司;-;2017-06-30;100.00
深圳市天地石矿有限公司;-;2017-06-30;100.00
深圳市天地建材有限公司;-;2017-06-30;100.00
株洲天地混凝土有限公司;-;2017-06-30;100.00
西安千禧国际置业有限公司;-;2017-06-30;100.00
深圳天地远东混凝土有限公司;-;2017-06-30;90.00
深圳市天地建筑材料有限公司;-;2017-06-30;85.00
株洲天地中亿混凝土有限公司;-;2017-06-30;80.00
连云港天地经纬房地产开发有限公司;-;2017-06-30;65.00
深圳市天地混凝土有限公司;-;2017-06-30;60.00
深圳深秦实业有限公司;-;2017-06-30;60.00
深圳市天地恒大房地产投资管理有限公司;-;2017-06-30;60.00
深圳市天地砼剂开发有限公司;-;2017-06-30;51.00
