参控股名称;股票代码;报告期;持股比例(%)
安徽康佳同创电器有限公司;-;2017-12-31;100.00
北京康佳电子有限公司;-;2017-12-31;100.00
滁州康佳科技产业发展有限公司;-;2017-12-31;100.00
康佳(欧洲)有限责任公司;-;2017-12-31;100.00
昆山康盛投资发展有限公司;-;2017-12-31;100.00
深圳市万凯达科技有限公司;-;2017-12-31;100.00
深圳数时达物流服务有限公司;-;2017-12-31;100.00
深圳市康佳投资控股有限公司;-;2017-12-31;100.00
深圳市康佳电器有限公司;-;2017-12-31;100.00
香港康佳有限公司;-;2017-12-31;100.00
康佳商业保理(深圳)有限公司;-;2017-12-31;100.00
深圳市易平方网络科技有限公司;-;2017-12-31;100.00
深圳市康佳商用系统科技有限公司;-;2017-12-31;81.00
安徽开开视界电子商务有限公司;-;2017-12-31;80.00
安徽康佳电子有限公司;-;2017-12-31;78.00
深圳康佳生活电器有限公司;-;2017-12-31;75.00
深圳康佳通信科技有限公司;-;2017-12-31;75.00
深圳康佳电子配件科技有限公司;-;2017-12-31;75.00
东莞康佳电子有限公司;-;2017-12-31;75.00
深圳市康侨佳城置业投资有限公司;-;2017-12-31;70.00
牡丹江北冰洋电器有限公司;-;2017-12-31;60.00
深圳市康佳壹视界商业显示有限公司;-;2017-12-31;60.00
深圳市康侨易链科技有限公司;-;2017-12-31;60.00
易立方(海南)科技公司;-;2017-12-31;60.00
康佳创投发展(深圳)有限公司;-;2017-12-31;51.00
深圳康佳鹏润科技产业有限公司;-;2017-12-31;51.00
深圳市康佳利丰供应链管理有限责任公司;-;2017-12-31;51.00
深圳市康佳移动互联科技有限公司;-;2017-12-31;51.00
昆山康佳电子有限公司;-;2017-12-31;49.00
深圳康佳塑胶制品有限公司;-;2017-12-31;49.00
