参控股名称;股票代码;报告期;持股比例(%)
北京新源天净环保技术有限公司;-;2017-06-30;100.00
SPC EUROPE Sp.zo.o.;-;2017-06-30;100.00
北京清新环境节能技术有限公司;-;2017-06-30;100.00
盐城清新环境技术有限公司;-;2017-06-30;100.00
山西清新环境技术有限公司;-;2017-06-30;100.00
天津新源环保设备有限公司;-;2017-06-30;100.00
内蒙古清源环境技术有限公司;-;2017-06-30;100.00
北京清新环境运营技术有限公司;-;2017-06-30;100.00
锡林郭勒盟锡林新康活性炭有限公司;-;2017-06-30;80.00
北京博惠通科技发展有限公司;-;2017-06-30;80.00
赤峰博元科技有限公司;-;2017-06-30;70.60
北京康瑞新源净化技术有限公司;-;2017-06-30;70.00
浙江清新天地环保技术有限公司;-;2017-06-30;65.00
山东清新环保科技有限公司;-;2017-06-30;60.00
北京铝能清新环境技术有限公司;-;2017-06-30;60.00
贵州清新万峰能源科技有限公司;-;2018-02-05;51.00
北京必可测科技股份有限公司;430215.OC;2018-02-08;10.93
