参控股名称;股票代码;报告期;持股比例(%)
Clenergy Germany Gmbh;-;2017-12-31;100.00
Clenergy America Inc;-;2017-12-31;100.00
Clenergy Europe Limited;-;2017-12-31;100.00
Clenergy International (JP) Kabushiki-Kaisha;-;2017-12-31;100.00
凯利捷投资有限公司;-;2017-12-31;100.00
Clenergy Global Projects Gmbh;-;2017-12-31;100.00
Metz Newco Pty Ltd;-;2017-12-31;100.00
MES Solar XXI GmbH & Co. KG;-;2017-12-31;100.00
MES Solar XXXII GmbH & Co. KG;-;2017-12-31;100.00
MES Solar XXXV GmbH & Co. KG;-;2017-12-31;100.00
Clenergy Investment Pte. Ltd;-;2017-12-31;100.00
清源国际(香港)有限公司;-;2017-12-31;100.00
渭南大荔中能新能源有限公司;-;2017-12-31;100.00
墨玉县中阳新能源有限公司;-;2017-12-31;100.00
乌鲁木齐清源易捷光伏发电有限公司;-;2017-12-31;100.00
滁州天荣新能源有限公司;-;2017-12-31;100.00
皮山县清源新能源有限公司;-;2017-12-31;100.00
微山中微新能源设备有限公司;-;2017-12-31;100.00
阜阳市中阳太阳能有限公司;-;2017-12-31;100.00
淄博清阳太阳能科技有限公司;-;2017-12-31;100.00
中宁县中能新能源有限公司;-;2017-12-31;100.00
包头市清源易捷光伏科技有限公司;-;2017-12-31;100.00
砚山砚能新能源有限公司;-;2017-12-31;100.00
莱芜中阳新能源有限公司;-;2017-12-31;100.00
沙洋科明新能源工程有限公司;-;2017-12-31;100.00
泉州中清阳新能源有限公司;-;2017-12-31;100.00
南安市中威阳新能源有限公司;-;2017-12-31;100.00
南安市中品阳新能源有限公司;-;2017-12-31;100.00
南安市新科阳新能源有限公司;-;2017-12-31;100.00
亳州市清阳新能源有限公司;-;2017-12-31;100.00
