参控股名称;股票代码;报告期;持股比例(%)
湘电国际贸易有限公司;-;2017-12-31;100.00
湘电风能有限公司;-;2017-12-31;100.00
邵东兴能风电有限公司;-;2017-12-31;100.00
新化新能风电有限公司;-;2017-12-31;100.00
北京湘电科技有限公司;-;2017-12-31;100.00
湘潭牵引电气设备研究所有限公司;-;2017-12-31;100.00
湘潭电机物流有限公司;-;2017-12-31;100.00
湘电风能舟山有限公司;-;2018-03-30;100.00
湘电风能来宾有限公司;-;2018-03-30;100.00
湘电风能邵阳有限公司;-;2018-03-30;100.00
湘潭电机进出口有限公司;-;2015-12-31;80.00
湖南湘电动力有限公司;-;2017-12-31;75.42
长沙水泵厂有限公司;-;2015-12-31;70.66
湘电莱特电器有限公司;-;2017-12-31;55.00
湘电莱特电气有限公司;-;2015-12-31;55.00
沈阳湘潭电机销售有限公司;-;2017-12-31;51.00
广东湘潭电机销售有限责任公司;-;2017-12-31;51.00
上海湘潭电机有限责任公司;-;2017-12-31;51.00
湖南湘电东洋电气有限公司;-;2015-12-31;50.00
湖南福斯湘电长泵泵业有限公司;-;2015-12-31;50.00
湘潭市湘电大酒店有限公司;-;2015-12-31;33.65
湘潭昆鹏锻造有限公司;-;2015-12-31;20.06
