参控股名称;股票代码;报告期;持股比例(%)
青岛澳柯玛商务有限公司;-;2017-12-31;100.00
青岛澳柯玛新材料有限责任公司;-;2017-12-31;100.00
澳柯玛(沂南)新能源电动车有限公司;-;2017-12-31;100.00
青岛澳柯玛商用电器有限公司;-;2017-12-31;100.00
青岛澳柯玛进出口有限公司;-;2017-12-31;100.00
青岛澳柯玛电动科技有限公司;-;2017-12-31;100.00
青岛澳柯玛电动车有限公司;-;2017-12-31;100.00
青岛澳柯玛洗衣机有限公司;-;2017-12-31;100.00
澳柯玛(香港)贸易有限公司;-;2017-12-31;100.00
河南澳柯玛专用汽车有限公司;-;2017-12-31;100.00
青岛澳柯玛智慧冷链有限公司;-;2017-12-31;100.00
青岛澳柯玛超低温冷冻设备有限公司;-;2017-12-31;95.00
青岛澳柯玛生活电器有限公司;-;2017-12-31;95.00
河南澳柯玛电器有限公司;-;2017-12-31;90.00
青岛澳柯玛专用车有限公司;-;2017-12-31;90.00
青岛澳柯玛电子商务有限公司;-;2017-12-31;90.00
青岛澳柯玛制冷电器有限公司;-;2015-12-31;90.00
青岛澳柯玛资产管理有限公司;-;2017-12-31;80.00
澳柯玛(香港)电器有限公司;-;2017-12-31;80.00
青岛澳柯玛疫苗冷链有限公司;-;2017-12-31;80.00
青岛澳海生物有限公司;-;2017-12-31;70.00
青岛世贸云商国际贸易有限公司;-;2017-12-31;60.00
青岛澳柯玛信息产业园有限公司;-;2017-12-31;55.00
青岛澳柯玛自动售货机股份有限公司;-;2017-12-31;48.00
青岛东华澳担保有限公司;-;2015-12-31;36.36
上海全祥投资中心(有限合伙);-;2017-12-31;35.00
青岛高创澳海创业投资企业(有限合伙);-;2017-08-18;34.88
