参控股名称;股票代码;报告期;持股比例(%)
深圳市大盘珠宝首饰有限责任公司;-;2017-12-31;318.75
龙岩市爱迪尔珠宝有限公司;-;2017-12-31;100.00
惠州市爱迪尔珠宝首饰有限公司;-;2017-12-31;100.00
济南爱迪尔珠宝首饰有限公司;-;2017-12-31;100.00
重庆市灵感珠宝首饰有限公司;-;2017-12-31;100.00
成都市爱迪尔珠宝首饰有限公司;-;2017-12-31;100.00
沈阳爱航珠宝首饰有限公司;-;2017-12-31;100.00
北京爱迪尔灵感珠宝首饰有限公司;-;2017-12-31;100.00
武汉市灵感珠宝首饰有限公司;-;2017-12-31;100.00
爱迪尔珠宝(上海)有限公司;-;2017-12-31;100.00
爱迪尔珠宝(香港)有限公司;-;2017-12-31;100.00
杭州爱航珠宝首饰有限公司;-;2017-12-31;100.00
北京市灵感珠宝首饰有限公司;-;2015-12-31;100.00
重庆市爱迪尔珠宝首饰有限公司;-;2015-12-31;100.00
济南市爱迪尔珠宝首饰有限公司;-;2015-12-31;100.00
北京爱投融科技有限公司;-;2015-12-31;25.00
