参控股名称;股票代码;报告期;持股比例(%)
獐子岛集团(荣成)食品有限公司;-;2017-06-30;100.00
大连獐子岛通远食品有限公司;-;2017-06-30;100.00
大连通远食品有限公司;-;2017-06-30;100.00
北京獐子岛海产品销售有限公司;-;2017-06-30;100.00
獐子岛集团大连永盛水产有限公司;-;2017-06-30;100.00
獐子岛渔业集团香港有限公司;-;2017-06-30;100.00
大连新中海产食品有限公司;-;2017-06-30;100.00
獐子岛渔业集团台湾公司;-;2017-06-30;100.00
獐子岛集团(荣成)养殖有限公司;-;2017-06-30;100.00
獐子岛集团宁德养殖有限公司;-;2017-06-30;100.00
獐子岛集团长岛养殖有限公司;-;2017-06-30;100.00
獐子岛集团大连轮船有限公司;-;2017-06-30;100.00
獐子岛渔业集团韩国有限公司;-;2017-06-30;100.00
獐子岛锦达(珠海)鲜活冷藏运输有限公司;-;2017-06-30;100.00
獐子岛锦通(大连)冷链物流有限公司;-;2017-06-30;100.00
獐子岛集团上海海洋食品有限公司;-;2017-06-30;100.00
水世界(上海)网络科技有限公司;-;2017-06-30;100.00
大连獐子岛海钓服务有限公司;-;2017-06-30;100.00
獐子岛雅马哈(大连)玻璃钢船舶制造有限公司;-;2017-09-27;100.00
獐子岛集团大连海鲜酒店有限公司;-;2016-06-21;100.00
大连长山群岛旅游有限公司;-;2016-06-21;100.00
大连长山群岛客运有限公司;-;2016-06-21;100.00
大连长山群岛旅行社有限公司;-;2015-12-31;100.00
大连獐子岛海石国际贸易有限公司;-;2015-12-31;100.00
大连鑫鑫旅行社有限公司;-;2015-12-31;100.00
獐子岛渔业集团欧洲公司;-;2015-12-31;100.00
大连海钓旅行社有限公司;-;2015-12-31;100.00
丰海通商株式会社;-;2017-06-30;90.00
日本新中株式会社;-;2015-12-31;90.00
大连獐子岛中央冷藏物流有限公司;-;2017-06-30;88.75
