参控股名称;股票代码;报告期;持股比例(%)
YONYOU INTERNATIONAL HOLDINGS.,LTD.;-;2017-12-31;100.00
用友优普信息技术有限公司;-;2017-12-31;100.00
深圳市灏麓梵科技有限公司;-;2017-12-31;100.00
北京用友艾福斯软件系统有限公司;-;2017-12-31;100.00
江西用友软件有限责任公司;-;2017-12-31;100.00
用友(南昌)产业基地发展有限公司;-;2017-12-31;100.00
三亚用友软件科技有限公司;-;2017-12-31;100.00
用友长伴管理咨询(上海)有限公司;-;2017-12-31;100.00
用友云达信息技术服务(南昌)有限公司;-;2017-12-31;100.00
用友能源科技有限公司;-;2017-12-31;100.00
北京用友创新投资中心(有限合伙);-;2017-12-31;99.00
广东用友软件有限公司;-;2017-12-31;90.00
天津用友软件技术有限公司;-;2017-12-31;90.00
内蒙古用友软件技术有限公司;-;2017-12-31;90.00
浙江用友软件有限公司;-;2017-12-31;90.00
沈阳用友软件有限公司;-;2017-12-31;90.00
大连用友软件有限公司;-;2017-12-31;90.00
广西用友软件有限公司;-;2017-12-31;90.00
深圳用友软件有限公司;-;2017-12-31;90.00
山东用友软件技术有限公司;-;2017-12-31;90.00
湖南用友软件有限公司;-;2017-12-31;90.00
天津滨海用友软件有限公司;-;2017-12-31;90.00
北京用友政务软件有限公司;-;2017-12-31;84.19
安徽用友软件有限公司;-;2017-12-31;82.00
重庆用友软件有限公司;-;2017-12-31;81.88
北京畅捷通支付技术有限公司;-;2017-12-31;80.72
用友医疗卫生信息系统有限公司;-;2017-12-31;80.00
用友汽车信息科技(上海)股份有限公司;839951.OC;2017-12-31;79.59
用友金融信息技术股份有限公司;839483.OC;2018-03-31;78.43
用友广信网络科技有限公司;-;2017-12-31;75.00
