参控股名称;股票代码;报告期;持股比例(%)
上海申能崇明发电有限公司;-;2017-06-30;100.00
上海申能能源科技有限公司;-;2017-06-30;100.00
上海申能投资发展有限公司;-;2017-06-30;100.00
上海申能新能源投资有限公司;-;2017-06-30;100.00
淮北申能发电有限公司;-;2017-06-30;100.00
上海申能青浦热电有限公司;-;2017-06-30;100.00
上海申能电力销售有限公司;-;2018-04-03;100.00
新疆申能石油天然气有限公司;-;2018-04-03;100.00
申能吴忠热电有限责任公司;-;2017-06-30;97.43
上海申能星火热电有限责任公司;-;2017-06-30;75.00
上海申能临港燃机发电有限公司;-;2017-06-30;65.00
上海申能燃料有限公司;-;2017-06-30;60.00
上海申能融资租赁有限公司;-;2017-06-30;60.00
上海申能电力科技有限公司;-;2017-06-30;52.00
上海吴泾第二发电有限责任公司;-;2017-06-30;51.00
淮北申皖发电有限公司;-;2017-06-30;51.00
上海申能奉贤热电有限公司;-;2017-06-30;51.00
上海化学工业区申能电力销售有限公司;-;2017-06-30;51.00
上海天然气管网有限公司;-;2017-06-30;50.00
上海吴泾发电有限责任公司;-;2017-06-30;50.00
华能上海石洞口发电有限责任公司;-;2017-06-30;50.00
上海外高桥第三发电有限责任公司;-;2017-06-30;40.00
上海石油天然气有限公司;-;2017-06-30;40.00
上海外高桥第二发电有限责任公司;-;2017-06-30;40.00
上海漕泾热电有限责任公司;-;2017-06-30;30.00
华能上海燃机发电有限责任公司;-;2017-06-30;30.00
华东天荒坪抽水蓄能发电有限责任公司;-;2017-06-30;25.00
申能集团财务有限公司;-;2017-06-30;25.00
华东桐柏抽水蓄能发电有限责任公司;-;2017-06-30;25.00
华电国际电力股份有限公司;600027.SH;2018-03-31;1.45
