参控股名称;股票代码;报告期;持股比例(%)
上海畅联国际货运有限公司;-;2017-08-24;100.00
上海盟天国际物流有限公司;-;2017-08-24;100.00
上海盟联国际物流有限公司;-;2017-08-24;100.00
上海畅链进出口有限公司;-;2017-08-24;100.00
北京盟达国际物流有限公司;-;2017-08-24;100.00
广州畅联国际物流有限公司;-;2017-08-24;100.00
深圳畅联国际物流有限公司;-;2017-08-24;100.00
成都畅联国际物流有限公司;-;2017-08-24;100.00
成都畅联供应链管理有限公司;-;2017-08-24;100.00
宁波畅联国际物流有限公司;-;2017-08-24;100.00
郑州畅联国际物流有限公司;-;2017-08-24;100.00
昆山畅联供应链管理有限公司;-;2017-08-24;100.00
天津畅联供应链管理有限公司;-;2017-08-24;100.00
畅联国际物流(香港)有限公司;-;2017-08-24;100.00
上海盟通物流有限公司;-;2017-08-24;90.00
上海怡乐畅购智能技术有限公司;-;2017-08-24;60.00
上海那亚进出口有限公司;-;2017-08-24;40.00
上海赛福畅实检验服务有限公司;-;2017-08-24;40.00
