参控股名称;股票代码;报告期;持股比例(%)
广州白云国际机场商旅服务有限公司;-;2017-12-31;100.00
广州白云国际广告有限公司;-;2017-12-31;100.00
广州市翔龙机动车检测有限公司;-;2017-12-31;100.00
广州白云国际机场二号航站区管理有限公司;-;2017-12-31;100.00
广州宏利实业投资有限公司;-;2017-12-31;100.00
广州白云国际机场空港快线运输有限公司;-;2017-12-31;75.00
广州白云空港设备技术发展有限公司;-;2017-12-31;75.00
广州白云国际机场汉莎航空食品有限公司;-;2017-12-31;70.00
广州白云国际机场地勤服务有限公司;-;2017-12-31;51.00
广东机场白云信息科技有限公司;-;2017-12-31;45.00
广东省机场管理集团翼通商务航空服务有限公司;-;2015-12-31;40.00
广州航空货站有限公司;-;2017-12-31;30.00
广州白云航空货站有限责任公司;-;2015-12-31;30.00
广州白云国际物流有限公司;-;2017-12-31;29.00
