参控股名称;股票代码;报告期;持股比例(%)
中石化江钻石油机械有限公司;-;2017-12-31;100.00
上海隆泰资产管理有限公司;-;2017-12-31;100.00
Kingdream USA,Inc;-;2017-12-31;100.00
中石化四机石油机械有限公司;-;2017-12-31;100.00
荆州市世纪派创石油机械检测有限公司;-;2017-12-31;100.00
承德江钻石油机械有限责任公司;-;2017-07-28;100.00
中石化石油工程机械有限公司;-;2015-12-31;100.00
江钻国际贸易(武汉)有限公司;-;2015-12-31;100.00
四机赛瓦石油钻采设备有限公司;-;2017-12-31;65.00
武汉江钻海杰特金刚石钻头有限公司;-;2017-12-31;60.00
PDC LOGIC, LLC;-;2017-12-31;40.00
珠海京楚石油技术开发有限公司;-;2017-12-31;31.25
湖北海洋工程装备研究院有限公司;-;2017-12-31;15.00
武汉市江汉石油机械有限公司;-;2017-12-31;15.00
