参控股名称;股票代码;报告期;持股比例(%)
湖南科伦制药有限公司;-;2017-06-30;100.00
湖北科伦药业有限公司;-;2017-06-30;100.00
山东科伦药业有限公司;-;2017-06-30;100.00
黑龙江科伦制药有限公司;-;2017-06-30;100.00
辽宁民康制药有限公司;-;2017-06-30;100.00
黑龙江科伦药品包装有限公司;-;2017-06-30;100.00
四川科伦药物研究院有限公司;-;2017-06-30;100.00
河南科伦药业有限公司;-;2017-06-30;100.00
浙江国镜药业有限公司;-;2017-06-30;100.00
伊犁川宁生物技术有限公司;-;2017-06-30;100.00
广西科伦制药有限公司;-;2017-06-30;100.00
崇州君健塑胶有限公司;-;2017-06-30;100.00
四川科伦医药销售有限责任公司;-;2017-06-30;100.00
科伦国际发展有限公司;-;2017-06-30;100.00
苏州科伦药物研究有限公司;-;2017-06-30;100.00
天津科伦药物研究有限公司;-;2017-06-30;100.00
四川新开元制药有限公司;-;2017-06-30;100.00
四川新迪医药化工有限公司;-;2017-06-30;90.00
贵州科伦药业有限公司;-;2017-06-30;84.50
四川科伦博泰生物医药股份有限公司;-;2017-06-30;70.00
成都青山利康药业有限公司;-;2017-06-30;56.00
