参控股名称;股票代码;报告期;持股比例(%)
北京中科大讯飞信息科技有限公司;-;2017-12-31;100.00
新疆科大讯飞信息科技有限公司;-;2017-12-31;100.00
天津讯飞信息科技有限公司;-;2017-12-31;100.00
安徽信息工程学院;-;2017-12-31;100.00
安徽讯飞智能科技有限公司;-;2017-12-31;100.00
上海讯飞瑞元信息技术有限公司;-;2017-12-31;100.00
深圳讯飞智慧科技有限公司;-;2017-12-31;100.00
河南讯飞智元信息科技有限公司;-;2017-12-31;100.00
湖南科大讯飞信息科技有限责任公司;-;2017-12-31;100.00
吉林科讯信息科技有限公司;-;2017-12-31;100.00
科大讯飞华南有限公司;-;2017-12-31;100.00
上海科大讯飞信息科技有限公司;-;2017-12-31;100.00
金华讯科科技有限公司;-;2017-12-31;100.00
科大讯飞(香港)有限公司;-;2017-12-31;100.00
北京讯飞乐知行软件有限公司;-;2017-12-31;100.00
科大讯飞河北科技有限公司;-;2017-12-31;100.00
贵州讯飞信息科技有限公司;-;2017-12-31;100.00
天津智汇谷科技服务有限公司;-;2017-12-31;100.00
iFLYTEK Inc.;-;2017-12-31;100.00
四川讯飞超脑信息科技有限公司;-;2017-12-31;100.00
安徽讯飞云创科技有限公司;-;2017-12-31;100.00
武汉讯飞兴智科技有限公司;-;2017-12-31;100.00
讯飞智元信息科技有限公司;-;2017-12-31;100.00
中科讯飞互联(北京)信息科技有限公司;-;2017-12-31;100.00
重庆科大讯飞智能科技有限公司;-;2017-12-31;100.00
浙江讯飞智能科技有限公司;-;2017-12-31;100.00
贵州科讯慧黔信息科技有限公司;-;2017-12-31;90.00
苏州科大讯飞教育科技有限公司;-;2017-12-31;82.00
深圳讯飞互动电子有限公司;-;2017-12-31;75.00
安徽讯飞皆成信息科技有限公司;-;2017-12-31;73.00
