参控股名称;股票代码;报告期;持股比例(%)
北京派瑞威行广告有限公司;-;2017-12-31;100.00
北京百孚思广告有限公司;-;2017-12-31;100.00
广州华邑品牌数字营销有限公司;-;2017-12-31;100.00
北京数字一百信息技术有限公司;-;2017-12-31;100.00
青岛科达置业有限公司;-;2017-12-31;100.00
滨州市科达置业有限公司;-;2017-12-31;100.00
链动(杭州)投资有限公司;-;2017-12-31;100.00
链动数据技术(北京)有限公司;-;2017-12-31;100.00
上海同立广告传播有限公司;-;2017-12-31;100.00
广东雨林木风计算机科技有限公司;-;2017-12-31;100.00
北京科达众连区块链技术有限公司;-;2018-03-20;100.00
北京智阅网络科技有限公司;-;2017-12-31;90.00
北京爱创天杰品牌管理顾问有限公司;-;2017-12-31;85.00
链动(上海)汽车电子商务有限公司;-;2017-12-31;55.53
东营科英置业有限公司;-;2017-12-31;54.55
