参控股名称;股票代码;报告期;持股比例(%)
积成能源有限公司;-;2017-12-31;100.00
积成软件有限公司;-;2017-12-31;100.00
上海积成电子系统有限公司;-;2017-12-31;97.00
宁波梅山保税港区积成东源投资合伙企业(有限合伙);-;2017-12-31;80.00
青岛积成电子股份有限公司;872230.OC;2017-12-31;73.29
上海积成慧集信息技术有限公司;-;2017-12-31;70.00
福建奥通迈胜电力科技有限公司;-;2017-12-31;70.00
山东积成智通新能源有限公司;-;2017-12-31;67.00
上海实积实业有限公司;-;2017-12-31;66.67
北京卓识网安技术股份有限公司;870126.OC;2017-12-31;51.00
山东积成中物新材料有限公司;-;2017-12-31;51.00
山东安控信息科技有限公司;-;2017-12-31;51.00
宁波中物力拓超微材料有限公司;-;2017-12-31;29.41
江苏乐科节能科技股份有限公司;834786.OC;2017-12-31;22.08
