参控股名称;股票代码;报告期;持股比例(%)
北京康仁堂药业有限公司;-;2017-12-31;100.00
天津红日金博达生物技术有限公司;-;2017-12-31;100.00
天津东方康圣健康管理有限公司;-;2017-12-31;100.00
海南龙圣堂制药有限公司;-;2017-12-31;100.00
湖州展望药业有限公司;-;2017-12-31;100.00
北京超思电子技术有限责任公司;-;2017-12-31;100.00
天津博广医健生物科技发展有限公司;-;2017-12-31;100.00
红日国际控股有限公司;-;2017-12-31;100.00
天津红日生物科技发展有限公司;-;2015-12-31;100.00
蒙阴红日中药材种植有限公司;-;2015-12-31;100.00
天津红日康仁堂药业有限公司;-;2017-12-31;96.00
天以红日医药科技发展(天津)有限公司;-;2017-12-31;90.00
兰州汶河医疗器械研制开发有限公司;-;2017-12-31;60.00
湖北亿诺瑞生物制药有限公司;-;2017-12-31;51.00
天津天以生物医药股权投资基金有限公司;-;2017-12-31;29.97
