参控股名称;股票代码;报告期;持股比例(%)
海南罗牛山畜牧有限公司;-;2017-12-31;100.00
海南万州农工贸有限公司;-;2017-12-31;100.00
罗牛山(上海)实业有限公司;-;2017-12-31;100.00
海南罗牛山实业有限公司;-;2017-12-31;100.00
三亚罗牛山畜牧有限公司;-;2017-12-31;100.00
海南罗牛山能源环保有限公司;-;2017-12-31;100.00
海南罗牛山种猪育种有限公司;-;2017-12-31;100.00
海南博时通投资咨询有限公司;-;2017-12-31;100.00
海南忆南园林工程有限公司;-;2017-12-31;100.00
海口领帅实业有限公司;-;2017-12-31;100.00
海口罗牛山农产品贸易有限公司;-;2017-12-31;100.00
海南罗牛山食品集团有限公司;-;2017-12-31;100.00
海南罗牛山腾昌生态黑猪有限公司;-;2017-12-31;100.00
海南罗牛山休闲观光农业有限公司;-;2017-12-31;100.00
海南罗牛山现代畜牧物流产业园有限公司;-;2017-12-31;100.00
罗牛山(上海)贸易有限公司;-;2017-12-31;100.00
海南罗牛山开源小额贷款有限公司;-;2017-12-31;100.00
海南锦地房地产有限公司;-;2017-12-31;100.00
海南雅安居物业服务有限公司;-;2017-12-31;100.00
海南青牧原实业有限公司;-;2017-12-31;100.00
海南洋浦海发面粉有限公司;-;2017-12-31;99.00
海口景山学校;-;2017-12-31;96.64
海南养猪场研究所;-;2017-12-31;95.00
海南高职院后勤实业有限公司;-;2017-12-31;95.00
海南海牛农业综合开发有限公司;-;2017-12-31;95.00
海口罗牛山旅游出租汽车有限公司;-;2017-12-31;90.00
天津市宝罗畜禽发展有限公司;-;2017-12-31;90.00
海口振龙畜牧有限公司;-;2017-12-31;87.50
海南爱华汽车广场有限公司;-;2017-12-31;80.00
海口罗牛山食品加工有限公司;-;2017-12-31;80.00
