参控股名称;股票代码;报告期;持股比例(%)
惠州市健和光电有限公司;-;2017-06-30;100.00
上海联创健和光电科技有限公司;-;2017-06-30;100.00
美国联建;-;2017-06-30;100.00
深圳市联建光电有限公司;-;2017-06-30;100.00
深圳市联动文化投资有限公司;-;2017-06-30;100.00
四川分时广告传媒有限公司;-;2017-06-30;100.00
深圳市易事达电子有限公司;430628.OC;2017-06-30;100.00
上海友拓公关顾问有限公司;-;2017-06-30;100.00
深圳市力玛网络科技有限公司;-;2017-06-30;100.00
山西华瀚文化传播有限公司;-;2017-06-30;100.00
北京远洋林格文化传媒有限公司;-;2017-06-30;100.00
上海励唐营销管理有限公司;-;2017-06-30;100.00
深圳市精准分众传媒有限公司;-;2016-03-08;100.00
Liantronics,LLC;-;2015-12-31;100.00
联建光电(香港)有限公司;-;2017-06-30;80.00
ARTIXIUM DISPLAY LIMITED;-;2017-06-30;60.00
长沙先导银象文化传媒有限公司;-;2017-06-30;32.00
湖南蓝海购企业策划有限公司;-;2017-06-30;25.88
无锡橙果传媒有限公司;-;2017-06-30;25.00
新余市德塔投资管理中心(有限合伙);-;2016-06-14;20.00
新余市德塔投资管理中心;-;2015-12-31;20.00
杭州树熊网络有限公司;-;2018-03-10;13.00
