参控股名称;股票代码;报告期;持股比例(%)
山东胜利能源有限公司;-;2017-12-31;100.00
济南胜利能源有限公司;-;2017-12-31;100.00
日照胜利天然气有限公司;-;2017-12-31;100.00
德州胜利天然气有限公司;-;2017-12-31;100.00
潍坊胜利天然气有限公司;-;2017-12-31;100.00
淄博利华晟天然气利用有限公司;-;2017-12-31;100.00
滨州胜利天然气有限公司;-;2017-12-31;100.00
济南天辰能源投资有限公司;-;2017-12-31;100.00
烟台润通能源有限公司;-;2017-12-31;100.00
威海润利能源有限公司;-;2017-12-31;100.00
青岛龙禹胜利能源有限公司;-;2017-12-31;100.00
东阿县东泰燃气有限责任公司;-;2017-12-31;100.00
东阿县东泰压缩天然气有限责任公司;-;2017-12-31;100.00
青岛润昊天然气有限公司;-;2017-12-31;100.00
阳谷南外环丰源加气有限公司;-;2017-12-31;100.00
菏泽胜宏燃气有限公司;-;2017-12-31;100.00
山东利华晟运输有限公司;-;2017-12-31;100.00
江西尚典晟实业投资有限公司;-;2017-12-31;100.00
山东胜邦管道科技有限公司;-;2017-12-31;100.00
重庆胜邦管道有限公司;-;2017-12-31;100.00
山东胜利进出口有限公司;-;2017-12-31;100.00
山东胜利大酒窖有限公司;-;2017-12-31;100.00
青岛胜利美酒汇有限公司;-;2017-12-31;100.00
山东利华晟能源有限公司;-;2017-12-31;100.00
南宁胜信天然气利用有限公司;-;2017-12-31;100.00
山东胜邦绿野化学有限公司;-;2016-12-31;96.25
天津恒融达科技有限公司;-;2017-12-31;95.00
青岛胜利石化产品销售有限公司;-;2017-12-31;94.00
彭泽县天然气有限公司;-;2017-12-31;85.00
钦州胜利天然气利用有限公司;-;2017-12-31;81.00
