参控股名称;股票代码;报告期;持股比例(%)
苏交科国际有限公司;-;2017-12-31;100.00
江苏省交通科学研究院有限公司;-;2017-12-31;100.00
常州市交通规划设计院有限公司;-;2017-12-31;100.00
江苏省建设工程设计院有限公司;-;2017-12-31;100.00
常熟市交通规划设计院有限公司;-;2017-12-31;100.00
TestAmerica Environmental Services, LLC;-;2017-12-31;100.00
常德燕宁建设工程管理有限公司;-;2017-12-31;100.00
江苏交科国际有限公司;-;2017-12-31;100.00
江苏交科交通设计研究院有限公司;-;2017-12-31;100.00
广州建粤路桥检测技术有限公司;-;2017-12-31;100.00
苏交科集团(江苏)安全科学研究院有限公司;-;2017-12-31;100.00
苏交科集团(南京)城市规划设计研究有限公司;-;2017-12-31;100.00
苏交科集团兰卡(私人)有限公司;-;2017-12-31;100.00
苏交科环境与健康检测研究院江苏有限公司;-;2017-12-31;100.00
苏交科云南工程勘察设计咨询有限公司;-;2017-12-31;100.00
石家庄市政设计研究院有限责任公司;-;2017-12-31;100.00
霞浦通乡公路工程管理有限公司;-;2017-12-31;100.00
TestAmerica Environmental Service, LLC;-;2016-09-28;100.00
燕宁国际工程咨询有限公司;-;2015-12-31;100.00
江苏三联安全评价咨询有限公司;-;2015-12-31;100.00
江苏燕宁工程咨询有限公司;-;2017-12-31;95.00
苏交科集团检测认证有限公司;-;2017-12-31;90.00
苏交科国际(马来)公司;-;2017-12-31;90.00
EPTISA SERVICIOS DE INGENIERíA, S.L.;-;2017-01-18;90.00
北京中铁瑞威基础工程有限公司;-;2017-12-31;85.00
江苏交科能源科技发展有限公司;-;2017-12-31;85.00
厦门市市政工程设计院有限公司;-;2015-12-31;84.08
燕宁国际集团有限公司;-;2017-12-31;80.00
宿迁燕宁交通规划设计有限公司;-;2015-12-31;80.00
贵州苏交科工程勘察设计有限公司;-;2017-12-31;75.00
