参控股名称;股票代码;报告期;持股比例(%)
武汉世纪金桥安全技术有限公司;201957.WHE;2017-12-31;100.00
江西优码创达软件技术有限公司;-;2017-12-31;100.00
北京慧通九方科技有限公司;-;2017-12-31;100.00
广州圣地信息技术有限公司;-;2017-12-31;100.00
苏州工业园区迪隆科技发展有限公司;-;2017-12-31;100.00
中山恒达智能科技有限公司;-;2017-12-31;100.00
北京达华智能科技有限公司;-;2017-12-31;100.00
香港达华智能科技股份有限公司;-;2017-12-31;100.00
新东网科技有限公司;-;2017-12-31;100.00
厦门达华财务管理有限公司;-;2017-12-31;100.00
厦门达华股权投资基金管理有限公司;-;2017-12-31;100.00
厦门达华金融信息服务有限公司;-;2017-12-31;100.00
厦门达华商业保理有限公司;-;2017-12-31;100.00
上海达如电子科技有限公司;-;2017-12-31;100.00
北京九方畅通汽车租赁有限公司;-;2017-12-31;100.00
深圳市金锐显数码科技有限公司;-;2017-12-31;100.00
青岛融佳安全印务有限公司;-;2017-12-31;92.00
四川达宏物联射频科技有限公司;-;2017-12-31;90.00
北京达华嘉元信息服务有限公司;-;2017-12-31;75.00
中山市德晟融资租赁有限公司;-;2017-12-31;75.00
广东达华支付科技有限公司;-;2017-12-31;70.00
厦门达华资产管理有限公司;-;2017-12-31;51.00
润兴融资租赁有限公司;-;2017-12-31;40.00
卡友支付服务有限公司;-;2017-12-31;30.00
中山市中达小额贷款有限责任公司;-;2017-12-31;30.00
环球智达科技(北京)有限公司;-;2016-12-31;30.00
中山市诚达小额贷款股份有限公司;-;2017-12-31;20.00
广东南方新媒体股份有限公司;-;2017-12-15;5.84
