参控股名称;股票代码;报告期;持股比例(%)
广州市圣鑫生物科技有限公司;-;2017-08-21;100.00
广州金至检测技术有限公司;-;2017-08-21;100.00
福州金域医学检验所有限公司;-;2017-08-21;100.00
贵州金域医学检验中心有限公司;-;2017-08-21;100.00
海南金域医学检验中心有限公司;-;2017-08-21;100.00
杭州金域医学检验所有限公司;-;2017-08-21;100.00
合肥金域医学检验所有限公司;-;2017-08-21;100.00
吉林金域医学检验所有限公司;-;2017-08-21;100.00
济南金域医学检验中心有限公司;-;2017-08-21;100.00
昆明金域医学检验所有限公司;-;2017-08-21;100.00
南京金域医学检验所有限公司;-;2017-08-21;100.00
广西金域医学检验所有限公司;-;2017-08-21;100.00
上海金域医学检验所有限公司;-;2017-08-21;100.00
沈阳金域医学检验所有限公司;-;2017-08-21;100.00
石家庄金域医学检验所有限公司;-;2017-08-21;100.00
四川金域医学检验中心有限公司;-;2017-08-21;100.00
太原金域临床检验有限公司;-;2017-08-21;100.00
天津金域医学检验所有限公司;-;2017-08-21;100.00
长沙金域医学检验所有限公司;-;2017-08-21;100.00
重庆金域医学检验所有限公司;-;2017-08-21;100.00
广州金域体检门诊部有限公司;-;2017-08-21;100.00
深圳金域医学检验所有限公司;-;2017-08-21;100.00
武汉金域医学检验所有限公司;-;2017-08-21;100.00
黑龙江金域医学检验所有限公司;-;2017-08-21;100.00
甘肃金域医学检验所有限公司;-;2017-08-21;100.00
江西金域医学检验所有限公司;-;2017-08-21;100.00
广州市金埻网络科技有限公司;-;2017-08-21;100.00
广州金域达物流有限公司;-;2017-08-21;100.00
呼和浩特金域医学检验所有限公司;-;2017-08-21;100.00
肇庆金域医学检验中心有限公司;-;2017-08-21;100.00
