参控股名称;股票代码;报告期;持股比例(%)
上海杭钢嘉杰实业有限公司;-;2017-12-31;100.00
北京德胜投资有限责任公司;-;2017-12-31;100.00
北京怡泰汽车修理有限责任公司;-;2017-12-31;100.00
北京金融街奕兴置业有限公司;-;2017-12-31;100.00
北京奕环天和置业有限公司;-;2017-12-31;100.00
金融街(北京)置业有限公司;-;2017-12-31;100.00
金融街(天津)置业有限公司;-;2017-12-31;100.00
金融街重庆置业有限公司;-;2017-12-31;100.00
北京金融街里兹置业有限公司;-;2017-12-31;100.00
北京金融街购物中心有限公司;-;2017-12-31;100.00
北京金融街房地产顾问有限公司;-;2017-12-31;100.00
金融街长安(北京)置业有限公司;-;2017-12-31;100.00
北京金融街资产管理有限公司;-;2017-12-31;100.00
金融街(北京)置地有限公司;-;2017-12-31;100.00
北京金融街奕兴天宫置业有限公司;-;2017-12-31;100.00
融信(天津)投资管理有限公司;-;2017-12-31;100.00
金融街融辰(北京)置业有限公司;-;2017-12-31;100.00
金融街控股(香港)有限公司;-;2017-12-31;100.00
金融街成都置业有限公司;-;2017-12-31;100.00
金融街武汉置业有限公司;-;2017-12-31;100.00
北京金融街京西置业有限公司;-;2017-12-31;100.00
金融街(深圳)投资有限公司;-;2017-12-31;100.00
金融街(上海)投资有限公司;-;2017-12-31;100.00
广州金融街融展置业有限公司;-;2017-12-31;100.00
金融街(遵化)置业有限公司;-;2017-12-31;100.00
金融街广州置业有限公司;-;2017-12-31;100.00
上海静盛房地产开发有限公司;-;2017-12-31;100.00
金融街津门(天津)置业有限公司;-;2017-12-31;99.96
金融街惠州置业有限公司;-;2017-12-31;91.28
成都中逸实业有限公司;-;2017-12-31;90.00
