参控股名称;股票代码;报告期;持股比例(%)
湖北省新华书店(集团)有限公司;202600.WHE;2017-12-31;100.00
湖北新华印务有限公司;202608.WHE;2017-12-31;100.00
湖北长江出版印刷物资有限公司;-;2017-12-31;100.00
湖北长江传媒数字出版有限公司;-;2017-12-31;100.00
湖北长江华盛国际文化发展有限公司;-;2017-12-31;100.00
武汉德锦投资有限公司;-;2017-12-31;100.00
湖北长江传媒安全生产文化传媒有限公司;-;2017-12-31;100.00
长江少年儿童出版社(集团)有限公司;-;2017-12-31;100.00
湖北长江教育研究院有限公司;-;2017-12-31;100.00
湖北长江文化广场有限公司;-;2017-12-31;100.00
湖北长江传媒英爵意文化发展有限公司;-;2017-12-31;100.00
长江国际传媒(伦敦)有限公司;-;2017-12-31;100.00
长江传媒国际(香港)有限公司;-;2017-12-31;100.00
湖北人民出版社有限公司;-;2017-12-31;100.00
湖北教育出版社有限公司;-;2017-12-31;100.00
长江文艺出版社有限公司;-;2017-12-31;100.00
湖北美术出版社有限公司;-;2017-12-31;100.00
崇文书局有限公司;-;2017-12-31;100.00
湖北九通电子音像出版社有限公司;-;2017-12-31;100.00
长瑞星润投资有限公司;-;2017-12-31;100.00
湖北科学技术出版社有限公司;-;2017-12-31;100.00
湖北长江报刊传媒(集团)有限公司;-;2017-12-31;100.00
湖北长江数字文化产业园有限公司;-;2017-03-02;100.00
湖北长江工贸有限公司;-;2015-12-31;100.00
湖北长江盘古教育科技有限公司;-;2017-12-31;65.00
西苑出版社有限公司;-;2017-12-31;50.00
湖北新华高速彩印有限公司;-;2017-12-31;38.00
华中国家版权交易中心有限公司;-;2017-12-31;25.00
