参控股名称;股票代码;报告期;持股比例(%)
长江证券承销保荐有限公司;-;2017-06-30;100.00
长江证券(上海)资产管理有限公司;-;2017-06-30;100.00
长江证券创新投资(湖北)有限公司;-;2017-06-30;100.00
长江证券经纪(香港)有限公司;-;2017-06-30;100.00
长江证券期货(香港)有限公司;-;2017-06-30;100.00
长江证券资产管理(香港)有限公司;-;2017-06-30;100.00
长江证券融资(香港)有限公司;-;2017-06-30;100.00
长江咨询服务(深圳)有限公司;-;2017-06-30;100.00
长江财务(香港)有限公司;-;2017-06-30;100.00
长江财富管理有限公司;-;2017-06-30;100.00
ChangjiangCapital(BVI)Limited;-;2017-06-30;100.00
宁波长证璞实股权投资基金管理有限公司;-;2017-06-30;100.00
长江证券产业金融(湖北)有限公司;-;2017-06-30;100.00
长江证券产业基金管理(湖北)有限公司;-;2017-06-30;100.00
长江成长资本投资有限公司;-;2017-06-30;100.00
长江期货股份有限公司;872186.OC;2017-06-30;95.26
长江产业金融服务(武汉)有限公司;-;2017-06-30;88.42
湖北新能源投资管理有限公司;-;2017-06-30;70.00
长江证券控股(香港)有限公司;-;2017-06-30;64.18
长信基金管理有限责任公司;-;2017-06-30;44.55
兵器工业股权投资(天津)有限公司;-;2017-06-30;30.00
武汉城发投资基金管理有限公司;-;2017-06-30;17.50
西安楼市通网络科技股份有限公司;831383.OC;2018-03-31;7.82
第一物业(北京)股份有限公司;837498.OC;2018-04-03;3.00
浙江海越股份有限公司;600387.SH;2018-03-31;2.34
荣丰控股集团股份有限公司;000668.SZ;2018-03-31;2.31
湖北益通建设股份有限公司;831343.OC;2018-03-31;2.08
广东爱瓦力科技股份有限公司;832638.OC;2018-03-31;2.05
北京第七九七音响股份有限公司;870381.OC;2018-03-31;1.92
北京东邦御厨科技股份有限公司;833743.OC;2018-03-31;1.85
