参控股名称;股票代码;报告期;持股比例(%)
青岛啤酒(上海)投资有限公司;-;2017-12-31;100.00
青岛啤酒(兴凯湖)有限公司;-;2017-12-31;100.00
青岛啤酒(密山)有限公司;-;2017-12-31;100.00
青岛啤酒(哈尔滨)有限公司;-;2017-12-31;100.00
厦门青岛啤酒东南营销有限公司;-;2017-12-31;100.00
青岛啤酒(成都)有限公司;-;2017-12-31;100.00
青岛啤酒榆林有限责任公司;-;2017-12-31;100.00
郴州市青岛啤酒销售有限公司;-;2017-12-31;100.00
青岛啤酒机械设备有限公司;-;2017-12-31;100.00
青岛啤酒(福州)有限公司;-;2017-12-31;100.00
青岛啤酒西安汉斯集团有限公司;-;2017-12-31;100.00
上海青岛啤酒销售有限公司;-;2017-12-31;100.00
深圳青岛啤酒华南投资有限公司;-;2017-12-31;100.00
深圳市青岛啤酒华南营销有限公司;-;2017-12-31;100.00
上海青岛啤酒华东(控股)有限公司;-;2017-12-31;100.00
青岛啤酒(潍坊)有限公司;-;2017-12-31;100.00
青岛啤酒进出口有限责任公司;-;2017-12-31;100.00
青岛啤酒(平原)有限公司;-;2017-12-31;100.00
青岛啤酒(日照)有限公司;-;2017-12-31;100.00
青岛啤酒香港贸易有限公司;-;2017-12-31;100.00
青岛广润隆物流有限公司;-;2017-12-31;100.00
青岛啤酒(济南)有限公司;-;2017-12-31;100.00
青岛啤酒财务有限责任公司;-;2017-12-31;100.00
青岛啤酒(平度)销售有限公司;-;2017-12-31;100.00
青岛啤酒武威有限责任公司;-;2017-12-31;99.72
青岛啤酒(寿光)有限公司;-;2017-12-31;99.00
青岛啤酒(黄石)有限公司;-;2017-12-31;97.00
上海青岛啤酒华东销售有限公司;-;2017-12-31;97.00
青岛啤酒(泸州)有限公司;-;2017-12-31;95.00
北京青岛啤酒北方销售有限公司;-;2017-12-31;95.00
