参控股名称;股票代码;报告期;持股比例(%)
成都吉胜科技有限责任公司;-;2017-12-31;100.00
上海新浩艺软件有限公司;-;2017-12-31;100.00
上海凌克翡尔广告有限公司;-;2017-12-31;100.00
上海派博软件有限公司;-;2017-12-31;100.00
杭州顺网珑腾信息技术有限公司;-;2017-12-31;100.00
Shunwang Technology(HongKong)Limited;-;2017-12-31;100.00
Shunwang Technology Holding Limited;-;2017-12-31;100.00
杭州顺网宇酷科技有限公司;-;2017-12-31;100.00
宁波顺网信息技术有限公司;-;2017-12-31;100.00
宁波顺盟投资有限公司;-;2017-12-31;100.00
江苏国瑞信安科技有限公司;-;2017-12-31;100.00
杭州浮云网络科技有限公司;-;2017-12-31;80.00
杭州顺网邦全金融信息服务有限公司;-;2017-12-31;70.00
上海汉威信恒展览有限公司;-;2017-12-31;51.00
慈文传媒股份有限公司;002343.SZ;2018-03-31;2.34
号百控股股份有限公司;600640.SH;2018-03-31;1.57
