参控股名称;股票代码;报告期;持股比例(%)
广东肇庆科讯高技术有限公司;-;2017-06-30;100.00
广东肇庆微硕电子有限公司;-;2017-06-30;100.00
肇庆风华机电进出口有限公司;-;2017-06-30;100.00
风华高新科技(香港)有限公司;-;2017-06-30;100.00
广东晟华房地产开发有限公司;-;2017-06-30;100.00
广东亿华检测技术发展有限公司;-;2017-06-30;100.00
广东风华大旺电子科技有限公司;-;2017-06-30;100.00
奈电软性科技电子(珠海)有限公司;-;2017-06-30;100.00
风华研究院(广州)有限公司;-;2017-06-30;100.00
广东风华芯电科技股份有限公司;-;2017-06-30;99.90
广州风华创业投资有限公司;-;2017-06-30;90.00
四平市吉华高新技术有限公司;-;2017-06-30;60.00
肇庆科华电子科技有限公司;-;2017-06-30;43.00
光颉科技股份有限公司;3624.TWO;2017-06-30;40.00
广东国华新材料科技股份有限公司;-;2017-06-30;35.63
肇庆市风华锂电池有限公司;-;2017-06-30;27.61
肇庆市贺江电力发展有限公司;-;2017-06-30;20.00
长春奥普光电技术股份有限公司;002338.SZ;2018-03-31;4.99
