参控股名称;股票代码;报告期;持股比例(%)
香雪剑桥中药国际研究中心;-;2017-12-31;100.00
山西安泽连翘中药材开发有限公司;-;2017-12-31;100.00
广州市香雪新药开发有限公司;-;2017-12-31;100.00
香雪集团(香港)有限公司;-;2017-12-31;100.00
广州芮培优生优育医疗有限公司;-;2017-12-31;100.00
香雪(上海)中药资源发展有限公司;-;2017-12-31;100.00
广州厚朴饮食有限公司;-;2017-12-31;100.00
广东化州中药厂制药有限公司;-;2017-12-31;100.00
广东九极生物科技有限公司;-;2017-12-31;100.00
四川香雪制药有限公司;-;2017-12-31;100.00
广东香雪药业有限公司;-;2017-12-31;100.00
广东香雪精准医疗技术有限公司;-;2017-12-31;97.50
宁夏隆德县六盘山中药资源开发有限公司;-;2017-12-31;90.00
广州市香雪生物医学工程有限公司;-;2017-12-31;90.00
中山优诺生物科技发展有限公司;-;2017-12-31;90.00
广东省凉茶博物馆;-;2017-12-31;70.00
亳州市沪谯药业有限公司;-;2017-12-31;70.00
广州市香雪亚洲饮料有限公司;-;2017-12-31;63.00
广东兆阳生物科技有限公司;-;2017-12-31;60.00
广州香雪康万达精准医疗投资管理有限公司;-;2017-12-31;60.00
湖北天济中药饮片有限公司;-;2017-12-31;55.00
广东神农资本管理有限公司;-;2017-12-31;55.00
广东恒颐医疗有限公司;-;2017-12-31;51.00
北京香雪医药生物科技有限公司;-;2017-12-31;51.00
云南香格里拉健康产业发展有限公司;-;2017-12-31;50.00
