参控股名称;股票代码;报告期;持股比例(%)
骆驼集团襄阳蓄电池有限公司;-;2017-12-31;100.00
骆驼集团华中蓄电池有限公司;-;2017-12-31;100.00
骆驼集团华南蓄电池有限公司;-;2017-12-31;100.00
扬州阿波罗蓄电池有限公司;-;2017-12-31;100.00
骆驼集团东北蓄电池有限公司;-;2017-12-31;100.00
骆驼集团塑胶制品有限公司;-;2017-12-31;100.00
骆驼集团新能源电池有限公司;-;2017-12-31;100.00
湖北骆驼物流有限公司;-;2017-12-31;100.00
骆驼集团蓄电池研究院有限公司;-;2017-12-31;100.00
骆驼集团武汉光谷研发中心有限公司;-;2017-12-31;100.00
骆驼集团蓄电池销售有限公司;-;2017-12-31;100.00
骆驼集团东北再生资源有限公司;-;2017-12-31;100.00
骆驼集团香港投资贸易有限公司;-;2017-12-31;100.00
襄阳宇清电驱动科技有限公司;-;2017-12-31;81.11
武汉光谷投资创新基金;-;2017-12-31;79.33
湖北骆驼融资租赁有限公司;-;2017-12-31;70.00
骆驼集团安徽再生资源有限公司;-;2017-12-31;70.00
骆驼集团新疆蓄电池有限公司;-;2017-12-31;67.00
骆驼集团新疆再生资源有限公司;-;2017-12-31;67.00
湖北骆驼海峡新型蓄电池有限公司;-;2017-12-31;60.00
新能源产业基金;-;2017-12-31;59.00
湖北楚凯冶金有限公司;-;2017-12-31;51.00
戴瑞米克襄阳电池隔膜有限公司;-;2017-12-31;35.00
湖北汉江投资管理有限公司;-;2017-12-31;30.00
江西金达莱环保股份有限公司;830777.OC;2018-03-31;6.25
