参控股名称;股票代码;报告期;持股比例(%)
常州黑牡丹置业有限公司;-;2017-12-31;100.00
黑牡丹集团进出口有限公司;-;2017-12-31;100.00
黑牡丹纺织有限公司;-;2017-12-31;100.00
常州新希望农业投资发展有限公司;-;2017-12-31;100.00
常州黑牡丹城建投资发展有限公司;-;2017-12-31;100.00
常州黑牡丹商务服务有限公司;-;2017-12-31;100.00
上海晟辉贸易有限公司;-;2017-12-31;100.00
黑牡丹国际时尚服饰常州有限公司;-;2017-12-31;100.00
黑牡丹(香港)控股有限公司;-;2017-12-31;100.00
常州市大德纺织有限公司;-;2017-12-31;100.00
常州牡丹江南创业投资有限责任公司;-;2017-12-31;100.00
常州黑牡丹科技园有限公司;-;2017-12-31;100.00
黑牡丹(香港)有限公司;-;2017-12-31;85.00
中国华能集团香港有限公司;-;2015-12-31;85.00
常州市荣元服饰有限公司;-;2017-12-31;75.00
黑牡丹(溧阳)服饰有限公司;-;2017-12-31;70.00
常州市牡丹广景投资有限公司;-;2017-12-31;65.00
常州黑牡丹建设投资有限公司;-;2015-12-31;60.79
