参控股名称;股票代码;报告期;持股比例(%)
龙元明城投资管理(上海)有限公司;-;2017-06-30;100.00
辽宁龙元建设工程有限公司;-;2017-06-30;100.00
元明建设置业有限公司;-;2017-06-30;100.00
龙元营造(泰国)有限公司;-;2017-06-30;100.00
龙元亚克(澳门)有限公司;-;2017-06-30;100.00
上海石与木投资咨询有限公司;-;2017-06-30;100.00
龙元资产管理(上海)有限公司;-;2017-06-30;100.00
宁波圣贝投资有限公司;-;2017-06-30;100.00
温州明鹿基础设施投资有限公司;-;2017-06-30;100.00
海城明城水务投资有限公司;-;2017-06-30;100.00
开化明化基础设施投资有限公司;-;2017-06-30;100.00
晋江市明晋会展有限责任公司;-;2017-06-30;100.00
建德明德基础设施投资有限公司;-;2017-06-30;100.00
龙元建设集团(菲律宾)有限公司;-;2017-06-30;99.99
上海龙元房地产开发有限公司;-;2017-06-30;99.00
象山明象基础设施投资有限公司;-;2017-06-30;98.49
奉化明奉基础设施投资有限公司;-;2017-06-30;98.00
宣城明宣基础设施开发有限公司;-;2017-06-30;96.15
上海龙源建材经营有限公司;-;2017-06-30;96.00
南昌明安基础设施建设有限公司;-;2017-06-30;95.00
上海龙元建设工程有限公司;-;2017-06-30;93.46
宁波龙元投资有限公司;-;2017-06-30;90.00
上海建顺劳务有限公司;-;2017-06-30;90.00
商洛市商州明环基础设施开发有限公司;-;2017-06-30;90.00
象山明浦基础设施开发有限公司;-;2017-06-30;90.00
丽水明安建设开发有限公司;-;2017-06-30;90.00
象山安通建筑劳务有限公司;-;2015-12-31;90.00
象山辰龙建筑劳务有限公司;-;2017-06-30;86.50
绍兴海钜投资管理合伙企业(有限合伙);-;2017-06-30;85.00
上海福吉胤元投资有限公司;-;2015-12-31;85.00
