参控股名称;股票代码;报告期;持股比例(%)
焦作市兴泰资源综合利用有限公司;-;2017-12-31;100.00
佰利联(香港)有限公司;-;2017-12-31;100.00
河南龙翔山旅游发展有限公司;-;2017-12-31;100.00
河南佰利联新材料有限公司;-;2017-12-31;100.00
四川龙蟒钛业股份有限公司;-;2017-12-31;100.00
四川龙蟒矿冶有限责任公司;-;2017-12-31;100.00
襄阳龙蟒钛业有限公司;-;2017-12-31;100.00
Lomon US Ltd;-;2017-12-31;100.00
佰利联融资租赁(广州)有限公司;-;2017-12-31;100.00
攀枝花市瑞尔鑫工贸有限责任公司;-;2017-12-31;100.00
焦作市佰利源水库管理有限公司;-;2015-12-31;97.83
焦作市中站区亿利小额贷款有限公司;-;2017-12-31;74.00
焦作荣佳钪业科技有限公司;-;2017-12-31;60.00
焦作佰利联合颜料有限公司;-;2017-12-31;55.00
攀枝花攀西现代物流有限公司;-;2017-12-31;26.21
焦作市维纳科技有限公司;-;2017-12-31;21.30
