供应商名称;股票代码;报告期;金额(万元)
上海企源科技股份有限公司;833132.OC;2017-12-31;72,685.11
深圳联合金融服务集团股份有限公司;839269.OC;2017-12-31;16,950.92
上海安硕信息技术股份有限公司;300380.SZ;2017-12-31;2,353.34
北京宝润兴业科技股份有限公司;833856.OC;2017-12-31;1,935.24
融汇通网络服务股份有限公司;870920.OC;2017-12-31;1,331.32
深圳兴融联科技股份有限公司;839270.OC;2017-12-31;1,263.02
四川金投金融电子服务股份有限公司;834023.OC;2017-12-31;1,167.59
北京盛世全景科技股份有限公司;839076.OC;2017-12-31;1,081.97
申朴信息技术(上海)股份有限公司;870221.OC;2017-12-31;888.11
北京羽实箫恩信息技术股份有限公司;870754.OC;2017-12-31;679.81
杭州时代银通软件股份有限公司;872516.OC;2017-12-31;636.00
北京银商融信支付技术股份有限公司;871070.OC;2017-12-31;348.60
百合佳缘网络集团股份有限公司;834214.OC;2017-12-31;308.82
北京亿创网安科技股份有限公司;430072.OC;2017-12-31;244.80
上海广申建筑设计股份有限公司;833752.OC;2017-12-31;218.11
北京银联信科技股份有限公司;838723.OC;2017-12-31;98.20
北京纽哈斯科技股份有限公司;834464.OC;2017-12-31;4.94
