客户名称;股票代码;报告期;金额(万元)
北京中电凯瑞控制技术有限公司;-;2016-06-30;1,282.05
普天新能源有限责任公司;-;2016-06-30;880.26
中冶天工集团有限公司;-;2016-06-30;516.36
湖南长天自控工程有限公司;-;2016-06-30;512.82
中咨泰克交通工程集团有限公司;-;2016-06-30;437.61
陕西万邦达水务有限公司;-;2016-06-30;393.16
北京西威嘉业科技有限公司;-;2016-06-30;376.07
宁夏万邦达水务有限公司;-;2016-06-30;358.97
北京帮安迪信息科技股份有限公司;839194.OC;2017-12-31;346.50
中国石化销售有限公司;-;2016-06-30;341.03
中国航空技术北京有限公司;-;2016-06-30;335.04
西安华新新能源股份有限公司;834368.OC;2016-06-30;330.18
北京中电森源节能技术有限公司;-;2016-06-30;316.24
广东省大宝山矿业有限公司;-;2016-06-30;280.34
中国航空工业集团公司沈阳发动机设计研究所工业公司;-;2016-06-30;217.52
中航商用航空发动机有限责任公司;-;2016-06-30;51.28
中国石油化工股份有限公司;600028.SH;2016-06-30;46.84
北京万邦达环保技术股份有限公司;300055.SZ;2016-06-30;8.70
中国飞机强度研究所;-;2016-06-30;3.93
