参控股名称;股票代码;报告期;持股比例(%)
重庆宜化化工有限公司;-;2017-06-30;100.00
湖北宜化置业有限责任公司;-;2017-06-30;100.00
北京红双环科技有限公司;-;2017-06-30;100.00
武汉宜化塑业有限公司;-;2017-06-30;100.00
重庆索特盐化股份有限公司;-;2017-06-30;100.00
湖北宜化猇亭置业有限公司;-;2017-06-30;100.00
湖北宜化物业发展有限公司;-;2017-06-30;100.00
中卫海鑫化工有限公司;-;2017-06-30;100.00
重庆鼎尚物流有限公司;-;2017-06-30;100.00
湖北宜化投资开发有限公司;-;2017-06-30;100.00
武汉宜富华石油化工有限责任公司;-;2017-06-30;100.00
湖北环益化工有限公司;-;2017-06-30;100.00
宜昌宜景房地产开发有限公司;-;2017-06-30;70.00
新疆佳盛房地产开发有限公司;-;2017-06-30;60.00
北京宜化贸易有限公司;-;2017-06-30;49.00
哈密宜化化工有限公司;-;2017-06-30;49.00
哈密宜化矿业有限公司;-;2017-06-30;49.00
山西兰花沁裕煤矿有限公司;-;2017-06-30;46.80
武汉双建科技发展有限公司;-;2017-06-30;38.25
武汉东太信息产业有限公司;-;2017-06-30;28.84
武汉理工光科股份有限公司;300557.SZ;2017-12-31;1.53
