参控股名称;股票代码;报告期;持股比例(%)
四川浩特通信有限公司;-;2017-12-31;100.00
上海万达信息系统有限公司;-;2017-12-31;100.00
天津万达信息技术有限责任公司;-;2017-12-31;100.00
深圳市万达信息有限公司;-;2017-12-31;100.00
北京万达全城信息系统有限公司;-;2017-12-31;100.00
宁波金唐软件有限公司;-;2017-12-31;100.00
湖南万达智慧城市信息技术有限公司;-;2017-12-31;100.00
永州潇湘云技术有限公司;-;2017-12-31;100.00
四川万达健康数据有限公司;-;2017-12-31;100.00
宁波市万达数据应用服务有限公司;-;2017-12-31;100.00
美国万达信息有限公司;-;2017-12-31;100.00
上海万达信息服务有限公司;-;2017-12-31;100.00
上海格言管理有限公司;-;2017-12-31;100.00
上海复高计算机科技有限公司;-;2017-12-31;100.00
湖南凯歌医疗信息技术有限公司;-;2017-12-31;100.00
深圳市万达计算机软件有限公司;-;2015-12-31;100.00
永州市潇湘云科技有限公司;-;2015-12-31;100.00
杭州万达信息系统有限公司;-;2017-12-31;94.00
宁波万达信息系统有限公司;-;2017-12-31;90.00
四川万达智城云数据有限公司;-;2017-12-31;90.00
万达志翔医疗科技(北京)有限责任公司;-;2017-12-31;70.00
上海市民信箱信息服务有限公司;-;2017-12-31;61.08
上海市民信箱服务有限公司;-;2015-12-31;61.00
上海卫生信息工程技术研究中心有限公司;-;2017-12-31;57.14
上海万达全程健康服务有限公司;-;2017-12-31;55.00
上海爱递吉供应链管理服务有限公司;-;2017-12-31;55.00
上海华奕医疗信息技术有限公司;-;2017-12-31;52.00
西藏万达华波美信息技术有限公司;-;2015-12-31;51.22
万达云医疗科技健康产业(上海)有限公司;-;2017-12-31;51.00
上海达保贵生信息科技股份有限公司;-;2017-12-31;40.00
