参控股名称;股票代码;报告期;持股比例(%)
上海三湘(集团)有限公司;-;2017-06-30;100.00
上海湘海房地产发展有限公司;-;2017-06-30;100.00
上海三湘建筑装饰工程有限公司;-;2017-06-30;100.00
上海三湘装饰设计有限公司;-;2017-06-30;100.00
上海三湘建筑材料加工有限公司;-;2017-06-30;100.00
上海三湘物业服务有限公司;-;2017-06-30;100.00
上海城光置业有限公司;-;2017-06-30;100.00
上海湘宸置业发展有限公司;-;2017-06-30;100.00
上海三湘祥腾湘麒投资有限公司;-;2017-06-30;100.00
上海三湘房地产经纪有限公司;-;2017-06-30;100.00
上海湘源房地产发展有限公司;-;2017-06-30;100.00
上海三湘广告传播有限公司;-;2017-06-30;100.00
上海湘虹置业有限公司;-;2017-06-30;100.00
上海聚湘投资有限公司;-;2017-06-30;100.00
上海湘南置业有限公司;-;2017-06-30;100.00
上海三湘海岸资产管理有限公司;-;2017-06-30;100.00
上海湘鼎置业有限公司;-;2017-06-30;100.00
香港三湘实业有限公司;-;2017-06-30;100.00
上海三湘海农资产管理有限公司;-;2017-06-30;100.00
上海湘骏置业发展有限公司;-;2017-06-30;100.00
上海湘盛置业发展有限公司;-;2017-06-30;100.00
上海三湘海誊资产管理有限公司;-;2017-06-30;100.00
上海三湘绿色建筑科技有限公司;-;2017-06-30;100.00
康晟发展有限公司;-;2017-06-30;100.00
观印象艺术发展有限公司;-;2017-06-30;100.00
北京印象山水文化艺术有限公司;-;2017-06-30;100.00
北京观印象文化发展有限公司;-;2017-06-30;100.00
天津又见文化传播有限公司;-;2017-06-30;100.00
上海三湘文化发展有限公司;-;2017-06-30;100.00
杭州三湘印象置业有限公司;-;2017-06-30;100.00
