参控股名称;股票代码;报告期;持股比例(%)
三维通信(香港)有限公司;-;2017-12-31;100.00
浙江三维通信技术服务有限公司;-;2017-12-31;100.00
浙江新展通信技术有限公司;-;2017-12-31;100.00
上海三维通信有限公司;-;2017-12-31;100.00
浙江三维无线科技有限公司;-;2017-12-31;100.00
江西巨网科技有限公司;-;2017-12-31;99.59
浙江三维通信科技有限公司;-;2017-12-31;74.50
浙江南邮三维通信研究院有限公司;-;2017-12-31;70.00
深圳海卫通网络科技有限公司;-;2018-04-28;58.33
杭州紫光网络技术有限公司;-;2017-12-31;56.00
常州三维天地通讯系统有限公司;-;2017-12-31;51.00
STAR SOLUTIONS INTERNATIONAL INC;-;2017-12-31;26.02
山东万博科技股份有限公司;-;2017-12-31;20.00
星展测控科技股份有限公司;831244.OC;2017-12-31;10.18
