参控股名称;股票代码;报告期;持股比例(%)
北京世联房地产顾问有限公司;-;2017-12-31;100.00
东莞世联地产顾问有限公司;-;2017-12-31;100.00
深圳市世联行房地产经纪有限公司;-;2017-12-31;100.00
世联房地产咨询(惠州)有限公司;-;2017-12-31;100.00
广州市世联房地产咨询有限公司;-;2017-12-31;100.00
天津世联兴业房地产咨询有限公司;-;2017-12-31;100.00
世联咨询(香港)有限公司;-;2017-12-31;100.00
深圳市世联小额贷款有限公司;-;2017-12-31;100.00
深圳世联集金财富管理有限公司;-;2017-12-31;100.00
深圳世联集房资产管理有限公司;-;2017-12-31;100.00
苏州世联行房地产综合服务有限公司;-;2017-12-31;100.00
邯郸世联卓群房地产经纪有限公司;-;2017-12-31;100.00
哈尔滨卓群房地产经纪有限公司;-;2017-12-31;100.00
深圳富景慧思投资管理有限公司;-;2017-12-31;100.00
合肥汇创房地产咨询有限公司;-;2017-12-31;100.00
衡水世联汇创房地产经纪有限公司;-;2017-12-31;100.00
邢台世联行房地产经纪有限公司;-;2017-12-31;100.00
张家口世联兴业房地产经纪有限公司;-;2017-12-31;100.00
拉萨市世联房地产服务有限公司;-;2017-12-31;100.00
怀来卓群房地产经纪有限公司;-;2017-12-31;100.00
深圳世联同行共营地产咨询有限公司;-;2017-12-31;100.00
上海世联房地产顾问有限公司;-;2017-12-31;100.00
重庆世联行房地产顾问有限公司;-;2017-12-31;100.00
深圳世联投资有限公司;-;2017-12-31;100.00
深圳市盛泽融资担保有限责任公司;-;2017-12-31;100.00
珠海世联房地产咨询有限公司;-;2017-12-31;100.00
杭州世联房地产咨询有限公司;-;2017-12-31;100.00
厦门世联兴业房地产顾问有限公司;-;2017-12-31;100.00
深圳世联先锋投资有限公司;-;2017-12-31;100.00
长沙世联兴业房地产顾问有限公司;-;2017-12-31;100.00
