参控股名称;股票代码;报告期;持股比例(%)
上海经贸嘉华进出口有限公司;-;2017-12-31;100.00
O.I.E HONGKONG CO.,LTD.;-;2017-12-31;100.00
东方国际物流(集团)有限公司;-;2017-12-31;100.00
O.I.E.AUSTRALIA PTY. LTD;-;2017-12-31;100.00
东方国际商业(集团)有限公司;-;2017-12-31;100.00
东方创业(上海)国际服务贸易有限公司;-;2017-12-31;100.00
东方国际集团上海市针织品进出口有限公司;-;2017-12-31;100.00
东方国际集团上海市纺织品进出口有限公司;-;2017-12-31;100.00
东方国际创业闵行服装实业有限公司;-;2017-12-31;100.00
东方国际创业浦东服装进出口有限公司;-;2017-12-31;100.00
东方国际创业白鹤服装实业有限公司;-;2017-12-31;100.00
上海嘉棉服饰有限公司;-;2017-12-31;80.00
上海高南制衣有限公司;-;2017-12-31;80.00
上海朗绅服饰有限公司;-;2017-12-31;79.00
上海东创嘉利国际贸易有限公司;-;2017-12-31;71.50
上海领秀电子商务有限公司;-;2017-12-31;66.94
上海东方国际创业品牌管理股份有限公司;-;2017-12-31;60.00
上海东贸贸易有限公司;-;2017-12-31;55.00
上海东松医疗科技股份有限公司;872647.OC;2017-12-31;51.00
上海经贸国际货运实业有限公司;-;2017-12-31;48.75
东方金发国际物流有限公司;-;2017-12-31;20.00
华安证券股份有限公司;600909.SH;2017-12-31;6.60
