参控股名称;股票代码;报告期;持股比例(%)
中国核工业第二二建设有限公司;-;2017-06-30;100.00
中国核工业二四建设有限公司;-;2017-06-30;100.00
中国核工业第五建设有限公司;-;2017-06-30;100.00
中国核工业中原建设有限公司;-;2017-06-30;100.00
中核华泰建设有限公司;-;2017-06-30;100.00
郑州中核岩土工程有限公司;-;2017-06-30;100.00
中核华辰建设有限公司;-;2017-06-30;100.00
中核机械工程有限公司;-;2017-06-30;100.00
中核建材有限公司;-;2017-06-30;100.00
中国核工业建设集团财务有限公司;-;2017-06-30;90.00
中国核工业华兴建设有限公司;-;2015-12-31;86.30
北京中核华辉科技发展有限公司;-;2015-12-31;80.65
中核二三建设工程有限公司;-;2017-06-30;80.00
和建国际工程有限公司;-;2017-06-30;60.00
中核建(天津)项目管理有限公司;-;2017-06-30;51.00
中核检修有限公司;-;2017-06-30;51.00
南京协泰光电科技有限公司;-;2017-06-30;39.13
中核新能源投资有限公司;-;2017-06-30;16.69
山东核电设备制造有限公司;-;2017-06-30;16.00
江苏利柏特股份有限公司;-;2017-06-30;8.58
