参控股名称;股票代码;报告期;持股比例(%)
重庆凯瑞燃气汽车有限公司;-;2017-06-30;100.00
重庆凯瑞特种车有限公司;-;2017-06-30;100.00
重庆凯瑞车辆传动制造有限公司;-;2017-06-30;100.00
重庆凯瑞汽车试验设备开发有限公司;-;2017-06-30;100.00
重庆凯瑞质量检测认证中心有限责任公司;-;2017-06-30;100.00
苏州凯瑞汽车测试研发有限公司;-;2017-06-30;100.00
北京中汽院科技有限公司;-;2017-06-30;100.00
重庆凯瑞科信汽车销售有限公司;-;2017-06-30;100.00
重庆西部汽车试验场管理有限公司;-;2017-06-30;100.00
重庆凯瑞电动汽车系统有限公司;-;2017-06-30;100.00
重庆凯瑞伟柯斯环保科技有限公司;-;2017-06-30;60.00
重庆鼎辉汽车燃气系统有限公司;-;2017-06-30;51.00
广东汽车检测中心有限公司;-;2017-06-30;49.00
广东汽车检测中心有限责任公司;-;2015-12-31;49.00
重庆中利凯瑞汽车部件有限公司;-;2017-06-30;35.00
