参控股名称;股票代码;报告期;持股比例(%)
ZPEC石油工程服务公司;-;2017-12-31;100.00
上海致远融资租赁有限公司;-;2017-12-31;100.00
中曼石油天然气勘探开发(香港)有限公司;-;2017-12-31;100.00
中曼石油工程技术服务(香港)有限公司;-;2017-12-31;100.00
陕西中曼石油钻井技术有限公司;-;2017-12-31;100.00
四川昆仑石油设备制造有限公司;-;2017-12-31;100.00
中曼石油钻井技术有限公司;-;2017-12-31;100.00
四川中曼电气工程技术有限公司;-;2017-12-31;100.00
上海中曼石油装备有限公司;-;2017-12-31;100.00
延安贝特石油工程技术服务有限公司;-;2017-12-31;100.00
上海中曼海洋石油工程技术服务有限公司;-;2017-12-31;100.00
中曼石油天然气勘探开发(塞浦路斯)有限公司;-;2017-12-31;100.00
ZPEC Egypt LLC;-;2017-12-31;100.00
天津中曼钻井工程有限公司;-;2017-12-31;100.00
中曼石油天然气集团(海湾)公司;-;2017-12-31;100.00
上海中曼石油制品有限公司;-;2017-12-31;100.00
中曼(伊朗)有限公司;-;2017-12-31;100.00
中曼石油服务有限责任公司;-;2017-12-31;49.00
