参控股名称;股票代码;报告期;持股比例(%)
华高置业有限公司;-;2017-12-31;100.00
中粮地产发展(深圳)有限公司;-;2017-12-31;100.00
长沙中粮地产投资有限公司;-;2017-12-31;100.00
中粮房地产开发(杭州)有限公司;-;2017-12-31;100.00
深圳中粮地产物业服务有限公司;-;2017-12-31;100.00
中粮地产集团深圳房地产开发有限公司;-;2017-12-31;100.00
中粮地产成都有限公司;-;2017-12-31;100.00
成都天泉置业有限责任公司;-;2017-12-31;100.00
中粮地产南京有限公司;-;2017-12-31;100.00
杭州易筑房地产开发有限公司;-;2017-12-31;100.00
杭州鸿悦置业有限公司;-;2017-12-31;100.00
中粮地产(上海)有限公司;-;2017-12-31;100.00
中粮地产(北京)有限公司;-;2017-12-31;100.00
中粮地产(天津)有限公司;-;2017-12-31;100.00
烟台中粮博瑞房地产开发有限公司;-;2017-12-31;100.00
中粮天悦地产(苏州)有限公司;-;2017-12-31;100.00
太仓悦祥房地产开发有限公司;-;2017-12-31;100.00
中粮地产(武汉)有限公司;-;2017-12-31;100.00
沈阳锐境投资有限公司;-;2017-12-31;100.00
中粮地产(西安)有限公司;-;2017-12-31;100.00
中粮地产集团深圳物业管理有限公司;-;2017-12-31;93.97
中粮地产集团深圳工人服务有限公司;-;2017-12-31;90.09
中粮地产集团深圳大洋服务有限公司;-;2017-12-31;90.00
苏源集团江苏房地产开发有限公司;-;2017-12-31;90.00
天津粮滨投资有限公司;-;2017-12-31;90.00
中粮地产集团深圳工业发展有限公司;-;2017-12-31;80.00
深圳市宝安三联有限公司;-;2017-12-31;74.04
深圳鹏丽陶瓷有限公司;-;2017-12-31;68.40
中耀房地产开发(沈阳)有限公司;-;2017-12-31;65.00
深圳市宝安福安实业有限公司;-;2017-12-31;56.52
