参控股名称;股票代码;报告期;持股比例(%)
贵州安大航空锻造有限责任公司;-;2017-12-31;100.00
贵州永红航空机械有限责任公司;-;2017-12-31;100.00
陕西宏远航空锻造有限责任公司;-;2017-12-31;100.00
中航力源液压股份有限公司;-;2017-12-31;99.95
中国航空工业新能源投资有限公司;-;2017-12-14;69.30
中航世新燃气轮机股份有限公司;-;2015-12-31;62.11
江西景航航空锻铸有限公司;-;2017-12-31;51.00
力锐液压系统有限责任公司;-;2017-12-31;50.00
上海菁江液压科技有限公司;-;2017-12-31;49.00
中航特材工业(西安)有限公司;-;2015-12-31;47.60
景德镇景航汽车精密锻造有限公司;-;2017-12-31;45.00
无锡马山永红换热器有限公司;-;2017-12-31;40.00
中航(沈阳)高新科技有限公司;-;2017-12-31;32.69
贵州安吉航空精密铸造有限责任公司;-;2017-12-31;30.47
中航卓越锻造(无锡)有限公司;-;2017-12-31;30.00
中航虹波风电设备有限公司;-;2017-12-31;29.60
北京北航华钛激光科技有限公司;-;2015-12-31;27.84
中航上大高温合金材料有限公司;-;2015-12-31;21.93
中航惠腾风电设备股份有限公司;-;2015-12-31;20.00
无锡华达燃机发电公司;-;2015-12-31;20.00
