参控股名称;股票代码;报告期;持股比例(%)
重庆卓创国际工程设计有限公司;-;2017-06-30;100.00
中衡设计集团苏州建筑节能技术有限公司;-;2017-06-30;100.00
中衡设计集团苏州幕墙设计顾问有限公司;-;2017-06-30;100.00
中衡设计集团工程咨询有限公司;-;2017-06-30;83.25
江苏苏通建筑设计有限公司;-;2017-06-30;70.00
苏州华造建筑设计有限公司;-;2017-06-30;65.17
浙江省工程咨询有限公司;-;2017-06-30;65.00
境群规划设计顾问(苏州)有限公司;-;2017-06-30;60.00
苏州工业园区规划设计研究院有限公司;-;2017-06-30;51.00
广西中马园区联衡规划研究院有限公司;-;2017-06-30;37.00
苏州工业园区点石市政设计有限责任公司;-;2015-12-31;35.43
中科迪高工程咨询(西咸新区)有限公司;-;2017-06-30;20.00
重庆卢浮印象数字科技有限公司;-;2017-06-30;15.00
苏州德睿亨风创业投资有限公司;-;2015-12-31;8.00
