参控股名称;股票代码;报告期;持股比例(%)
中国远洋(香港)有限公司;-;2017-12-31;100.00
中远海运集装箱运输有限公司;-;2017-12-31;100.00
中远海运控股(香港)有限公司;-;2017-12-31;100.00
中海港口发展有限公司;-;2016-09-02;100.00
中海(洋浦)冷藏储运有限公司;-;2016-09-02;100.00
中海集装箱运输代理(深圳)有限公司;-;2016-09-02;100.00
中海集装箱运输青岛有限公司;-;2016-09-02;100.00
中海集装箱运输厦门有限公司;-;2016-09-02;100.00
中海集装箱运输(香港)代理有限公司;-;2016-09-02;100.00
中海集装箱运输大连有限公司;-;2016-09-02;100.00
中海集装箱运输天津有限公司;-;2016-09-02;100.00
五洲航运有限公司;-;2016-09-02;100.00
深圳中海五洲物流有限公司;-;2016-09-02;100.00
中海集装箱运输海南有限公司;-;2016-09-02;100.00
中海集运(大连)信息处理有限公司;-;2016-09-02;100.00
中海集装箱运输深圳有限公司;-;2016-09-02;100.00
中海集装箱运输广州有限公司;-;2016-09-02;100.00
中海集装箱运输上海有限公司;-;2016-09-02;100.00
中远资产管理有限公司;-;2015-12-31;100.00
中远散货运输(集团)有限公司;-;2015-12-31;100.00
中远投资有限公司;-;2015-12-31;100.00
上海浦海航运有限公司;-;2016-09-02;98.20
鑫海航运有限公司;-;2017-01-17;51.00
大连万捷国际物流有限公司;-;2016-09-02;50.00
锦州港集铁物流有限公司;-;2016-09-02;45.00
中海集装箱运输浙江有限公司;-;2016-09-02;45.00
江苏中海集装箱运输有限公司;-;2016-09-02;45.00
中远海运港口有限公司;1199.HKS;2015-12-31;44.83
鞍钢集团汽车运输有限责任公司;-;2016-09-02;20.07
中山中海集装箱运输有限公司;-;2016-09-02;10.00
