参控股名称;股票代码;报告期;持股比例(%)
洛阳乐普医院有限公司;-;2017-12-31;100.00
北京乐普智慧医疗科技有限公司;-;2017-12-31;100.00
北京国医汇健康科技有限公司;-;2017-12-31;100.00
乐普(香港)有限公司;-;2017-12-31;100.00
北京瑞祥泰康科技有限公司;-;2017-12-31;100.00
北京天地和协科技有限公司;-;2017-12-31;100.00
乐普(北京)医疗装备有限公司;-;2017-12-31;100.00
北京思达医用装置有限公司;-;2017-12-31;100.00
北京乐普护生堂网络科技有限公司;-;2017-12-31;100.00
北京乐普成长投资管理有限公司;-;2017-12-31;100.00
Lepu Medical (Europe) Cooperatief U.A.;-;2017-12-31;99.00
乐普药业股份有限公司;-;2017-12-31;99.00
乐普医学电子仪器股份有限公司;-;2017-12-31;98.54
上海民颐投资中心(有限合伙);-;2017-12-31;95.00
烟台艾德康生物科技有限公司;-;2017-12-31;75.40
北京海合天科技开发有限公司;-;2017-12-31;71.39
安徽高新心脑血管医院管理有限公司;-;2017-12-31;70.00
深圳乐普智能医疗器械有限公司;-;2017-12-31;70.00
北京医康世纪科技有限公司;-;2017-12-31;70.00
北京乐普同心科技有限公司;-;2017-12-31;70.00
海南明盛达药业股份有限公司;834321.OC;2017-12-31;68.65
深圳中科乐普医疗技术有限公司;-;2017-12-31;65.00
北京乐健医疗投资有限公司;-;2017-12-31;60.00
浙江新东港药业股份有限公司;-;2017-12-31;53.95
深圳普汇医疗科技有限公司;-;2017-12-31;51.00
北京金卫捷科技发展有限公司;-;2017-12-31;51.00
北京雅联百得科贸有限公司;-;2017-12-31;42.11
上海优加利健康管理有限公司;-;2017-12-31;37.59
北京快舒尔医疗技术有限公司;-;2017-12-31;20.20
四川睿健医疗科技股份有限公司;839941.OC;2017-12-31;18.00
