参控股名称;股票代码;报告期;持股比例(%)
云南天安化工有限公司;-;2017-12-31;100.00
科建化工;-;2017-12-31;100.00
天驰物流股份有限公司;T15274.OC;2017-12-31;100.00
云南天腾化工有限公司;-;2017-12-31;100.00
云南水富云天化有限公司;-;2017-12-31;100.00
重庆聚甲醛新材料有限公司;-;2017-12-31;100.00
云南天一仓储配送有限公司;-;2017-12-31;100.00
上海云天化;-;2017-12-31;100.00
天际农业(美国)有限公司;-;2017-12-31;100.00
天际生物科技(仰光)有限公司;-;2017-12-31;100.00
瑞丰年肥料有限公司;-;2017-12-31;100.00
天际通商(新加坡)有限公司;-;2017-12-31;100.00
天际资源(迪拜)有限公司;-;2017-12-31;100.00
天际物产(海防)有限公司;-;2017-12-31;100.00
瑞丽天平边贸有限公司;-;2017-12-31;100.00
云南磷化集团有限公司;-;2017-12-31;100.00
磷化科工贸;-;2017-12-31;100.00
磷化工程;-;2017-12-31;100.00
晋宁黄磷;-;2017-12-31;100.00
云南磷化集团马龙矿业开发有限公司;-;2017-12-31;100.00
云南云天化商贸有限公司;-;2017-12-31;100.00
呼伦贝尔东明矿业有限责任公司;-;2017-12-31;100.00
云南三环新盛化肥有限公司;-;2017-12-31;100.00
珠海云聚天下投资管理有限责任公司;-;2017-12-31;100.00
云南云天化农资连锁有限公司;-;2017-12-31;97.00
云南云天化联合商务有限公司;-;2017-12-31;96.60
北海三环储运有限公司;-;2017-12-31;90.00
昭通天合有限公司;-;2017-12-31;74.50
黑龙江农业物产;-;2017-12-31;70.00
云南云天化国际银山化肥有限公司;-;2017-12-31;67.00
