参控股名称;股票代码;报告期;持股比例(%)
五矿物流集团有限公司;-;2017-12-31;100.00
五矿东方贸易进出口有限责任公司;-;2017-12-31;100.00
中国矿产有限责任公司;-;2017-12-31;100.00
五矿钢铁有限责任公司;-;2017-12-31;100.00
五矿贸易有限责任公司;-;2017-12-31;100.00
五矿国际招标有限责任公司;-;2017-12-31;100.00
五矿物流(上海)有限公司;-;2017-12-31;100.00
五矿浙江国际贸易有限公司;-;2017-12-31;100.00
五矿宁波进出口有限公司;-;2017-12-31;100.00
中国五矿南方有限责任公司;-;2017-12-31;100.00
五矿(贵州)铁合金有限责任公司;-;2017-12-31;100.00
五矿(湖南)铁合金有限责任公司;-;2017-12-31;80.00
五矿电子商务有限公司;-;2017-12-31;46.00
天津市中焦物流贸易有限责任公司;-;2017-12-31;40.00
五矿中建(北京)仓储有限责任公司;-;2017-12-31;40.00
广东五矿萤石有限公司;-;2017-12-31;36.00
广州华南金属材料交易中心有限公司;-;2017-12-31;30.00
五矿(山东)钢铁物流园有限公司;-;2017-12-31;30.00
宁波金海菱液化储运有限公司;-;2015-12-31;26.20
五矿天威钢铁有限公司;-;2017-12-31;25.00
