参控股名称;股票代码;报告期;持股比例(%)
成都亨通光通信有限公司;-;2017-06-30;100.00
江苏亨通高压海缆有限公司;-;2017-06-30;100.00
广东亨通光电科技有限公司;-;2017-06-30;100.00
江苏亨通线缆科技有限公司;-;2017-06-30;100.00
苏州亨通凯莱度假酒店;-;2017-06-30;100.00
江苏亨通精工金属材料有限公司;-;2017-06-30;100.00
上海亨通通信设备有限公司;-;2017-06-30;100.00
常熟亨通港务有限公司;-;2017-06-30;100.00
广德亨通铜业有限公司;-;2017-06-30;100.00
北京亨通斯博通讯科技有限公司;-;2017-06-30;100.00
亨通光电国际有限公司;-;2017-06-30;100.00
江苏亨通光网科技有限公司;-;2017-06-30;100.00
江苏亨通海洋光网系统有限公司;-;2017-06-30;100.00
江苏亨通光导新材料有限公司;-;2017-06-30;100.00
江苏亨通新能源智控科技有限公司;-;2017-06-30;100.00
江苏清研亨通新能源汽车研究院有限公司;-;2017-06-30;100.00
浙江亨通光网物联科技有限公司;-;2017-06-30;100.00
江苏亨通电子线缆科技有限公司;-;2017-06-30;100.00
江苏亨通感智科技有限公司;-;2017-06-30;100.00
苏州亨通智能精工装备有限公司;-;2017-06-30;100.00
江苏亨通智网工程技术服务有限公司;-;2017-06-30;100.00
南通亨通问天量子网络科技有限公司;-;2017-06-30;100.00
江苏亨通数云网智科创园有限公司;-;2017-06-30;100.00
黑龙江电信国脉工程股份有限公司;-;2017-06-30;83.32
江苏亨通光纤科技有限公司;-;2017-06-30;75.00
江苏亨通电力电缆有限公司;-;2017-06-30;75.00
江苏亨通问天量子信息研究院有限公司;-;2017-06-30;70.00
江苏科大亨芯半导体技术公司;-;2017-12-31;70.00
沈阳亨通光通信有限公司;-;2017-06-30;61.43
江苏亨通龙韵新能源科技有限公司;-;2017-06-30;60.00
