参控股名称;股票代码;报告期;持股比例(%)
江苏今创车辆有限公司;-;2018-01-31;100.00
江苏今创贸易有限公司;-;2018-01-31;100.00
常州东方今创机械有限公司;-;2018-01-31;100.00
青岛今创交通设备有限公司;-;2018-01-31;100.00
江门今创轨道交通设备有限公司;-;2018-01-31;100.00
合肥今创轨道交通设备有限公司;-;2018-01-31;100.00
重庆今创轨道交通设备有限公司;-;2018-01-31;100.00
武汉今创轨道交通设备有限公司;-;2018-01-31;100.00
今创集团欧洲有限公司;-;2018-01-31;100.00
今创集团新加坡有限公司;-;2018-01-31;100.00
沈阳今创轨道交通设备有限公司;-;2018-01-31;100.00
成都今创轨道交通设备有限公司;-;2018-01-31;100.00
长春市今创轨道交通设备有限公司;-;2018-01-31;100.00
今创集团香港有限公司;-;2018-01-31;100.00
芜湖今创轨道交通设备有限公司;-;2018-01-31;100.00
长春今创轨道科技有限公司;-;2018-01-31;100.00
重庆今创轨道科技有限公司;-;2018-01-31;100.00
KTK France Seats SAS;-;2017-12-31;100.00
西安今创轨道交通设备有限公司;-;2018-04-27;100.00
常州常矿起重机械有限公司;-;2018-01-31;94.96
江苏今创轨道科技有限公司;-;2018-01-31;80.00
常州剑湖金城车辆设备有限公司;-;2018-01-31;70.00
江苏凯西特轨道交通设计有限公司;-;2018-01-31;66.00
今创科技有限公司;-;2018-01-31;63.00
常州今创风挡系统有限公司;-;2018-01-31;51.00
常州小糸今创交通设备有限公司;-;2018-01-31;50.00
常州泰勒维克今创电子有限公司;-;2018-01-31;50.00
上海福伊特夏固今创车钩技术有限公司;-;2018-01-31;50.00
常州住电东海今创特殊橡胶有限公司;-;2018-01-31;50.00
江苏纳博特斯克今创轨道设备有限公司;-;2018-01-31;50.00
