参控股名称;股票代码;报告期;持股比例(%)
上海全筑装饰有限公司;-;2017-12-31;100.00
上海全筑建筑装饰设计有限公司;-;2017-12-31;100.00
上海全筑实业发展有限公司;-;2017-12-31;100.00
全筑香港控股有限公司;-;2017-12-31;100.00
上海全品室内装饰配套工程有限公司;-;2017-12-31;100.00
上海全筑家具有限公司;-;2017-12-31;100.00
上海全筑住宅装饰工程有限公司;-;2017-12-31;100.00
大连全筑建筑装饰工程有限公司;-;2017-12-31;100.00
江苏赫斯帝橱柜有限公司;-;2017-12-31;90.00
上海全筑新军住宅科技有限公司;-;2017-12-31;80.00
上海全筑环保新材料有限公司;-;2017-12-31;70.00
卜郦建筑设计(上海)有限公司;-;2017-12-31;70.00
上海美住家科技有限公司;-;2017-12-31;65.00
江苏全筑石业有限公司;-;2017-12-31;55.00
上海伍洲建筑设计有限公司;-;2017-12-31;55.00
上海全筑易家居配套有限公司;-;2017-12-31;54.00
上海筑途建筑装饰工程有限公司;-;2017-12-31;53.00
上海地东建筑设计事务所有限公司;-;2017-12-31;51.00
上海高昕节能科技有限公司;-;2017-12-31;51.00
艾尔门窗系统(上海)有限公司;-;2017-12-31;51.00
深圳市凤博投资管理有限公司;-;2016-12-01;10.00
