参控股名称;股票代码;报告期;持股比例(%)
天津津宁创环水务有限公司;-;2017-12-31;100.00
天津佳源兴创新能源科技有限公司;-;2017-12-31;100.00
山东创业环保科技发展有限公司;-;2017-12-31;100.00
阜阳创业水务有限公司;-;2017-12-31;100.00
天津创业环保(香港)有限公司;-;2017-12-31;100.00
文登创业水务有限公司;-;2017-12-31;100.00
天津静海创业水务有限公司;-;2017-12-31;100.00
西安创业水务有限公司;-;2017-12-31;100.00
安国创业水务有限公司;-;2017-12-31;100.00
武汉天创环保有限公司;-;2017-12-31;100.00
天津中水有限责任公司;-;2017-12-31;100.00
天津创环水务有限公司;-;2017-12-31;100.00
天津子创工程投资有限公司;-;2017-12-31;100.00
颍上创业水务有限公司;-;2017-12-31;100.00
安徽天创水务有限公司;-;2017-12-31;100.00
临夏市创业水务有限公司;-;2017-12-31;100.00
贵州创业水务有限公司;-;2017-12-31;95.00
克拉玛依天创水务有限公司;-;2017-12-31;90.00
曲靖创业水务有限公司;-;2017-12-31;87.00
长沙天创环保有限公司;-;2017-12-31;81.00
天津凯英科技发展股份有限公司;871226.OC;2017-12-31;80.00
长沙天创水务有限公司;-;2017-12-31;80.00
天津创业建材有限公司;-;2017-12-31;71.00
杭州天创水务有限公司;-;2017-12-31;70.00
宝应创业水务有限责任公司;-;2017-12-31;70.00
大连东方春柳河水质净化有限公司;-;2017-12-31;64.00
