参控股名称;股票代码;报告期;持股比例(%)
深圳华数机器人有限公司;-;2017-12-31;100.00
武汉华中数控鄂州有限公司;-;2017-12-31;100.00
武汉高科机械设备制造有限公司;-;2017-12-31;100.00
泉州华数机器人有限公司;-;2017-12-31;100.00
江苏锦明工业机器人自动化有限公司;-;2017-12-31;100.00
重庆华中数控技术有限公司;-;2017-12-31;100.00
武汉华大新型电机科技股份有限公司;-;2017-12-31;98.02
云南华溪数控装备有限公司;-;2017-12-31;95.00
宁波华中数控有限公司;-;2017-12-31;90.00
武汉智能控制工业技术研究院有限公司;-;2017-12-31;57.14
上海登奇机电技术有限公司;-;2015-12-31;56.68
北京华大深蓝航空科技有限公司;-;2017-12-31;51.00
重庆华数机器人有限公司;-;2017-12-31;51.00
沈阳华飞智能科技有限公司;-;2017-12-31;51.00
佛山华数机器人有限公司;121386.GDE;2017-12-31;51.00
湖北江山华科数字设备科技有限公司;-;2017-12-31;44.00
武汉新威奇科技有限公司;-;2017-12-31;39.66
南京锐普德数控设备股份有限公司;-;2015-12-31;33.80
大连机床集团(东莞)科技孵化有限公司;-;2015-12-31;14.00
