参控股名称;股票代码;报告期;持股比例(%)
华数传媒网络有限公司;-;2017-06-30;100.00
淳安华数数字电视有限公司;-;2017-06-30;100.00
临安华数数字电视有限公司;-;2017-06-30;100.00
桐庐华数数字电视有限公司;-;2017-06-30;100.00
杭州华数传媒电视网络有限公司;-;2017-06-30;100.00
建德华数数字电视有限公司;-;2017-06-30;100.00
杭州富阳华数数字电视有限公司;-;2017-06-30;100.00
杭州萧山华数数字电视有限公司;-;2017-06-30;100.00
杭州大江东华数数字电视有限公司;-;2017-06-30;100.00
杭州携云科技有限公司;-;2017-06-30;100.00
浙江华数传媒资本管理有限公司;-;2017-06-30;100.00
新疆广电网络股份有限公司;-;2017-06-30;10.00
浙江华数广电网络股份有限公司;-;2017-06-30;8.30
天津唐人影视股份有限公司;835885.OC;2017-06-30;7.59
贵州省广播电视信息网络股份有限公司;600996.SH;2018-03-31;2.56
