参控股名称;股票代码;报告期;持股比例(%)
珠海力合投资有限公司;-;2017-06-30;100.00
珠海铧盈投资有限公司;-;2017-06-30;100.00
珠海华金创新投资有限公司;-;2017-06-30;100.00
珠海华金资产管理有限公司;-;2017-06-30;100.00
珠海华金创业投资服务有限公司;-;2017-06-30;100.00
珠海华金创盈一号股权投资基金合伙企业(有限合伙);-;2017-06-30;100.00
珠海华金盛锦城市化投资基金(有限合伙);-;2017-06-30;100.00
珠海华金领创基金管理有限公司;-;2017-06-30;100.00
珠海华金领汇投资管理有限公司;-;2017-06-30;100.00
珠海华金领盛基金管理有限公司;-;2017-06-30;100.00
珠海香洲华金创业投资基金管理有限公司;-;2017-06-30;100.00
华金资本(国际)有限公司;-;2017-06-30;100.00
东方一号基金管理有限公司;-;2017-06-30;100.00
珠海华金瑞信基金管理有限公司;-;2017-06-30;100.00
珠海华金恒盛投资有限公司;-;2017-06-30;100.00
东营中拓水质净化有限公司;-;2017-06-30;100.00
延吉中拓城建水质净化有限公司;-;2017-06-30;100.00
珠海力合环保有限公司;-;2017-06-30;90.00
深圳力合华清创业投资有限公司;-;2017-06-30;84.21
珠海华冠电容器有限公司;-;2017-06-30;80.00
珠海华金方正创业股权投资基金管理有限公司;-;2017-06-30;70.00
珠海华金慧源投资管理有限公司;-;2017-06-30;70.00
北京中拓百川投资有限公司;-;2017-06-30;67.00
珠海华冠科技股份有限公司;871447.OC;2017-12-31;53.02
珠海华金丰实股权投资基金管理有限公司;-;2017-06-30;50.00
珠海清华科技园创业投资有限公司;-;2017-06-30;40.27
珠海力合华金投资管理有限公司;-;2017-06-30;40.00
深圳力合新媒体有限公司;-;2017-06-30;40.00
深圳力合高科技有限公司;-;2017-06-30;20.98
江苏数字信息产业园发展有限公司;-;2017-06-30;20.00
