参控股名称;股票代码;报告期;持股比例(%)
南京医药国药有限公司;-;2017-12-31;100.00
南京医药仪征有限公司;-;2017-12-31;100.00
南京医药医疗用品有限公司;-;2017-12-31;100.00
江苏中健之康信息技术有限公司;-;2017-12-31;100.00
南京医药常州有限公司;-;2017-12-31;100.00
南京医药泰州天骄有限公司;-;2017-12-31;100.00
辽宁康大彩印包装有限公司;-;2017-12-31;100.00
南京同仁堂美麟(铁岭)有限责任公司;-;2017-12-31;100.00
南京同仁堂(抚松)参业有限公司;-;2017-12-31;100.00
盐城恒健药业有限公司;-;2017-12-31;100.00
四川省雅通药业有限公司;-;2017-12-31;100.00
南京医药康捷物流有限责任公司;-;2017-12-31;100.00
南京中健之康物业管理有限公司;-;2017-12-31;100.00
江苏华晓医药物流有限公司;-;2017-12-31;100.00
南京医药(淮安)天颐有限公司;-;2017-12-31;100.00
南京医药南通健桥有限公司;-;2017-12-31;100.00
南京医药安徽天星物流有限公司;-;2015-12-31;100.00
南京医药药事服务有限公司;-;2015-12-31;100.00
南京医药国际贸易有限公司;-;2017-12-31;90.00
安徽天星医药集团有限公司;-;2015-12-31;86.36
南京药业股份有限公司;-;2015-12-31;81.08
福建东南医药有限公司;-;2017-12-31;80.00
云南云卫药事服务有限公司;-;2017-12-31;71.10
福建同春药业股份有限公司;-;2015-12-31;70.41
南京医药弘景大药房有限公司;-;2017-12-31;66.00
辽宁南药民生康大医药有限公司;-;2017-12-31;56.00
南京医药湖北有限公司;-;2017-12-31;51.00
南京同仁堂西丰皇家鹿苑有限公司;-;2017-12-31;51.00
北京智博高科生物技术有限公司;-;2017-12-31;28.57
厦门绿金谷国际健康产业股份有限公司;-;2017-12-31;20.00
