参控股名称;股票代码;报告期;持股比例(%)
南城金山单采血浆有限公司;-;2017-06-30;100.00
崇仁县博雅单采血浆有限公司;-;2017-06-30;100.00
金溪县博雅单采血浆有限公司;-;2017-06-30;100.00
赣州市南康博雅单采血浆有限公司;-;2017-06-30;100.00
岳池博雅单采血浆有限公司;-;2017-06-30;100.00
江西博雅医药投资有限公司;-;2017-06-30;100.00
北京博雅欣诺生物科技有限公司;-;2017-06-30;100.00
南京新百药业有限公司;-;2015-12-31;100.00
广东复大医药有限公司;-;2018-01-18;82.00
邻水博雅单采血浆有限公司;-;2017-06-30;80.00
信丰博雅单采血浆有限公司;-;2017-06-30;80.00
丰城博雅单采血浆有限公司;-;2017-06-30;80.00
于都博雅单采血浆有限公司;-;2017-06-30;80.00
都昌县博雅单采血浆有限公司;-;2017-06-30;80.00
诸暨高特佳睿安投资合伙企业(有限合伙);-;2017-06-30;33.33
贵州天安药业股份有限公司;-;2017-06-30;27.77
深圳市高特佳前海优享投资合伙企业(有限合伙);-;2017-06-30;1.38
